position_ID,electorate_name
Q5284523,Evans
Q5284525,Fawkner
Q5284526,Franklin
Q5284528,Grampians
Q5284529,Gwydir
Q5284530,Henty
Q5284531,Hawker
Q5284532,Higinbotham
Q5284534,Hoddle
Q5284535,Illawarra
Q5284539,Kalgoorlie
Q5284541,Laanecoorie
Q5284542,Lang
Q5284544,Lawson
Q5284547,Lyons
Q5284551,Mernda
Q5284552,Moira
Q5284553,Namadgi
Q5284554,Nepean
Q5284555,Northern Melbourne
Q5284556,Northern Territory
Q5284557,Oxley
Q5284559,Phillip
Q5284560,Prospect
Q5284562,Riverina-Darling
Q5284565,Southern Melbourne
Q5284566,South Australia
Q5284568,South Sydney
Q5284570,St George
Q5284571,Streeton
Q5284572,Tasmania
Q5284575,West Sydney
Q5284576,Wimmera
Q5302341,Doutta Galla Province
Q5329717,East Yarra Province
Q5330554,Eastern Victoria Region
Q5355018,Adelaide
Q5355021,Albert
Q5355023,Albert Park
Q5355033,Alma
Q5355043,Armadale
Q5355045,Armidale
Q5355074,Balmain
Q5355092,Bateman
Q5355114,Benalla and Yarrawonga
Q5355116,Bendigo
Q5355117,Bendigo East
Q5355126,Blackwood
Q5355133,Bogong
Q5355134,Bondi
Q5355141,Bowen
Q5355145,Braidwood
Q5355160,Broadmeadows
Q5355166,Brunswick
Q5355174,Bulla and Dalhousie
Q5355177,Bunbury
Q5355178,Bundaberg
Q5355180,Bundamba
Q5355183,Burke
Q5355185,Burnett
Q5355187,Burnie
Q5355191,Burrinjuck
Q5355194,Burwood
Q5355196,Caboolture
Q5355198,Cairns
Q5355208,Canterbury
Q5355216,Casino
Q5355220,Castlereagh
Q5355221,Caulfield
Q5355222,Caulfield East
Q5355232,Charters Towers
Q5355238,Clarence
Q5355245,Clifton Hill
Q5355266,Coogee
Q5355292,Cumberland
Q5355300,Custance
Q5355301,Dalby
Q5355304,Dandenong
Q5355323,Deniliquin
Q5355359,East Sydney
Q5355364,Eastern Suburbs
Q5355372,Elizabeth
Q5355379,Enoggera
Q5355383,Essendon
Q5355385,Essendon and Flemington
Q5355389,Everton
Q5355391,Fairfield
Q5355392,Fassifern
Q5355395,Ferny Grove
Q5355404,Flinders
Q5355405,Flinders
Q5355408,Footscray
Q5355414,Fortitude Valley
Q5355420,Fremantle
Q5355421,Frome
Q5355423,Fuller
Q5355426,Geelong
Q5355430,Georges River
Q5355443,Glass House
Q5355467,Goyder
Q5355469,Granville
Q5355481,Gympie
Q5355498,Hastings and Macleay
Q5355507,Heffron
Q5355522,Hurstville
Q5355530,Ipswich
Q5355535,Isis
Q5355545,Kalgoorlie
Q5355553,Kavel
Q5355559,Kennedy
Q5355563,Kew
Q5355564,Kiama
Q5355591,Launceston
Q5355599,Light
Q5355603,Liverpool Plains
Q5355612,Lyell
Q5355619,Macleay
Q5355636,Maroubra
Q5355638,Maryborough
Q5355645,Melbourne
Q5355649,Menzies
Q5355658,Middle Swan
Q5355668,Mirrabooka
Q5355676,Moggill
Q5355698,Mornington
Q5355711,Mount Gravatt
Q5355716,Mount Leonora
Q5355720,Mount Marshall
Q5355734,Murchison-Eyre
Q5355735,Electoral district of Murdoch
Q5355736,Murray
Q5355741,Murray
Q5355745,Murrumba
Q5355746,Murrumbidgee
Q5355749,Namoi
Q5355752,Napier
Q5355775,Newtown-Annandale
Q5355789,Normanby
Q5355801,North Hobart
Q5355803,North Launceston
Q5355806,North Shore
Q5355813,Northcott
Q5355816,Northern Tablelands
Q5355817,Northern Territory
Q5355825,Nunawading
Q5355826,Nundah
Q5355831,Orange
Q5355834,Oxley
Q5355838,Paddington
Q5355850,Perth
Q5355854,Pilbara
Q5355860,Playford
Q5355862,Port Adelaide
Q5355868,Port Macquarie
Q5355871,Portland
Q5355873,Prahran
Q5355880,Queenstown
Q5355888,Redcliffe
Q5355896,Richmond
Q5355898,Ringarooma
Q5355903,Robertson
Q5355906,Rockhampton
Q5355907,Rockhampton North
Q5355942,Smithfield
Q5355946,South Barwon
Q5355949,South Brisbane
Q5355957,South Perth
Q5355963,Southern Highlands
Q5355965,Southport
Q5355972,St George
Q5355973,St Kilda
Q5355984,Strathfield
Q5355988,Sturt
Q5355989,Subiaco
Q5355996,Swan
Q5355999,Swansea
Q5356009,Sydney-King
Q5356010,Sydney-Lang
Q5356019,Tamworth
Q5356033,Toowong
Q5356037,Toowoomba South
Q5356039,Torrens
Q5356049,Tweed
Q5356052,University of Sydney
Q5356054,Upper Hunter
Q5356060,Wagga Wagga
Q5356088,Waverley
Q5356091,Wellington
Q5356102,West Devon
Q5356105,West Launceston
Q5356111,West Moreton
Q5356120,Western Suburbs
Q5356145,Wollondilly
Q5356155,Wynnum
Q5356171,Yilgarn
Q5356173,Yilgarn-Coolgardie
Q5356176,York
Q5356178,Young
Q5356180,Zeehan
Q5356193,Alice Springs
Q5356195,Arafura
Q5356197,Arnhem
Q5356203,Buckingham
Q5356204,Casuarina
Q5356213,Fannie Bay
Q5356215,Fong Lim
Q5356220,Hobart
Q5356221,Huon
Q5356249,Rumney
Q5356429,East Metropolitan
Q5356431,North Metropolitan
Q550273,Leichhardt
Q55609742,Clark
Q5564068,Gippsland Province
Q55887412,Spence
Q56040740,Macnamara
Q56040847,Cooper
Q56040910,Fraser
Q56040976,Monash
Q56041034,Nicholls
Q56041098,Bean
Q56478730,South ward
Q56649104,Western Australia
Q56649105,New South Wales
Q56649106,Northern Territory
Q56649107,Australian Capital Territory
Q56649108,Tasmania
Q56649110,South Australia
Q56649111,Queensland
Q56649112,Victoria
Q56682627,City of Sydney Electoral District
Q577770,Paterson
Q58138448,Darwin
Q666416,Lowe
Q6811853,Melbourne Province
Q6811922,Melbourne West Province
Q6824962,Metropolitan-Suburban Province
Q6825213,Metropolitan Province
Q7053536,North-East Metropolitan Province
Q7055277,North Eastern Province
Q7057360,North Western Province
Q7059112,Northern Victoria Region
Q7568985,South Yarra Province
Q784520,Denison
Q7988191,Western Province
Q7989218,Westminster St George's
Q817830,Bennelong
Q897736,Brand
Q917665,Brisbane
Q918989,Mackellar
Q924832,Braddon
Q966318,Newcastle
Q987915,The Wrekin
Q988859,South Shields
