name,born,died,page
"AUSTIN, EDWIN HENRY  ",03 AUGUST 1860,30 NOVEMBER 1909),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/327
"AUSTIN, AUSTIN ALBERT  ",23 NOVEMBER 1855,29 JULY 1925),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/997
"AUSTIN, EDWARD ARTHUR  ",03 JULY 1875,01 MAY 1940),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/998
"AUSTIN, THOMAS LESLIE  ",24 SEPTEMBER 1923,01 JUNE 2002),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1673
"BAILES, ALFRED SHRAPNELL  ",23 JULY 1849,15 JANUARY 1928),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/342
"BAILEY, JOHN ROBINSON  ",01 JANUARY 1826,06 MAY 1871),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/356
"BAILEY, HENRY STEPHEN  ",09 SEPTEMBER 1876,26 JULY 1962),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1674
"BAILEY, ALBERT JOSEPH   ",30 APRIL 1915,17 JUNE 1999),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/999
"BAILLIE, WILLIAM GRAY  ",01 JANUARY 1828,12 APRIL 1871),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/343
"BAILLIEU, WILLIAM LAWRENCE  ",29 APRIL 1859,06 FEBRUARY 1936),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1000
"BAILLIEU, EDWARD NORMAN  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/201
"BAIRD, MATTHEW  ",15 OCTOBER 1879,14 JANUARY 1930),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/278
"BAKER, RICHARD  ",19 JUNE 1830,10 MARCH 1915),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/189
"BAKER, THOMAS  ",NOVEMBER 1840,29 DECEMBER 1923),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/271
"BAKER, IAN MALCOLM JOHN  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/154
"BALFOUR, JAMES  ",10 MAY 1830,24 AUGUST 1913),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/272
"BALFOUR, JAMES MILLER  ",30 JANUARY 1874,31 JULY 1943),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/282
"BALFOUR, JAMES CHARLES MURRAY  ",30 SEPTEMBER 1914,19 MAY 1990),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/281
"BARAGWANATH, JOHN DUNSTAN  ",1817,22 JANUARY 1885),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/192
"BARBER, GREG  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1713
"BARBOUR, ROBERT THOMSON  ",04 MARCH 1845,29 NOVEMBER 1914),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/285
"BARCLAY, NATHANIEL  ",01 OCTOBER 1895,11 SEPTEMBER 1962),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1003
"BARKER, ANN PATRICIA  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/202
"BARNES, SAMUEL  ",UNKNOWN,13 MARCH 1951),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1004
"BARR, JOHN MITCHELL  ",10 APRIL 1836,15 OCTOBER 1920),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/305
"BARR, ROBERT  ",08 MARCH 1862,27 APRIL 1947),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1005
"BARRETT, JOHN GEORGE  ",17 DECEMBER 1858,19 MAY 1928),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/357
"BARRY, REDMOND  ",07 JUNE 1813,23 NOVEMBER 1880),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/198
"BARRY, WILLIAM PETER  ",30 JUNE 1899,21 DECEMBER 1972),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1008
"BARTON, GEORGE ELLIOTT  ",1820,31 MAY 1903),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/335
"BATCHELOR, PETER  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/205
