name,born,died,page
"CUNNINGHAM, GEORGE  ",07 DECEMBER 1829,15 DECEMBER 1892),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/446
"CUNNINGHAM, DAVID JAMES  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/145
"CURNOW, RUPERT COLMAN  ",30 OCTOBER 1898,18 DECEMBER 1950),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/276
"CURNOW, ESMOND JULIAN  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1117
"CURRIE,  ALAN  ",06 JUNE 1868,10 OCTOBER 1942),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1152
"CURTAIN, JOHN  ",1835,22 OCTOBER 1905),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/447
"CUSSEN, MARTIN  ",1842,30 JULY 1911),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1100
"CUTHBERT, HENRY  ",29 JULY 1829,05 APRIL 1907),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/448
"CUTHBERTSON, ROBERT MELVILLE  ",18 JUNE 1869,04 JULY 1940),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1153
"D'ARCY, LESLIE FRANCIS CHRISTOPHER  ",02 DECEMBER 1899,24 NOVEMBER 1975),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/279
"DALIDAKIS, PHILIP  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/20
"DALLA-RIVA, RICHARD ALEX GORDON  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/44
"DANE, JOHN  ",07 JANUARY 1810,30 APRIL 1882),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/449
"DARCY, THOMAS ANTHONY  ",18 MAY 1893,27 DECEMBER 1979),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1154
"DARVENIZA, KAYE MARY  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/229
"DAVIDSON, BURWYN ERIC  ",21 JULY 1943,09 JUNE 2012),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/138
"DAVIES, BENJAMIN GEORGE  ",04 NOVEMBER 1822,24 JULY 1891),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/450
"DAVIES, JOHN  ",22 JANUARY 1820,19 JULY 1901),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/452
"DAVIES, DAVID MORTIMER  ",1837,18 JUNE 1894),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/451
"DAVIES, MATTHEW HENRY  ",01 FEBRUARY 1850,26 NOVEMBER 1912),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/453
"DAVIES, JOHN MARK  ",08 FEBRUARY 1840,12 SEPTEMBER 1919),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/454
"DAVIES, SUSAN MARGARET  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/224
"DAVIS, JAMES  ",1811,26 OCTOBER 1859),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/456
"DAVIS, GEORGE  ",UNKNOWN,25 AUGUST 1896),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/455
"DAVIS, GEORGE MARTLEY  ",07 JANUARY 1860,20 JULY 1938),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1150
"DAVIS, GEORGE   ",07 FEBRUARY 1939,25 FEBRUARY 2016),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/139
"DAVIS, PHILIP RIVERS  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/235
"DAWNAY-MOULD, WILLIAM ROY  ",02 NOVEMBER 1901,05 MARCH 1985),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1155
"DE FEGELY, RICHARD STRACHAN  ",15 OCTOBER 1928,27 NOVEMBER 2012),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/155
"DEAKIN, ALFRED  ",03 AUGUST 1856,07 OCTOBER 1919),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/231
"DEAN, ROBERT LOGAN  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/233
"DEANY, JAMES DAVIDSON  ",28 SEPTEMBER 1877,20 MARCH 1927),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/283
"DEEGAN, JOHN FRANCIS  ",02 DECEMBER 1845,29 JANUARY 1906),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1156
"DEGRAVES, WILLIAM  ",1821,20 MARCH 1883),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/457
"DELAHUNTY, MARY ELIZABETH  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/242
"DELAHUNTY, HUGH FRANCIS  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/238
"DELZOPPO, JOHN EDWARD  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1157
"DENIGAN, PATRICK LOUIS  ",04 JUNE 1879,01 NOVEMBER 1962),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1129
"DENNETT, ALEXANDER HENRY  ",1894,04 DECEMBER 1956),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1158
"DENOVAN, WILLIAM DIXON CAMPBELL  ",20 DECEMBER 1829,13 JULY 1906),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/458
"DERHAM, FREDERICK THOMAS  ",08 JANUARY 1844,12 MARCH 1922),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/459
"DICKIE, GEORGE THOMAS  ",26 JUNE 1874,04 SEPTEMBER 1910),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1130
"DICKIE, VANCE OAKLEY  ",29 AUGUST 1918,16 MAY 2012),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1159
"DICKINSON, HARLEY RIVERS  ",20 OCTOBER 1938,04 APRIL 2008),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1160
"DIFFEY, LOT VICTOR  ",21 MARCH 1877,23 FEBRUARY 1952),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1161
"DIGHT, CHARLES HILTON  ",13 JANUARY 1813,09 OCTOBER 1852),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/460
"DILLON, JAMES CHISHOLM  ",16 NOVEMBER 1880,27 FEBRUARY 1949),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1162
"DISNEY, JAMES HERBERT   ",08 DECEMBER 1864,28 JULY 1943),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1163
"DISNEY, JAMES STANLEY  ",17 JUNE 1896,20 JANUARY 1952),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1164
"DIVERS, WILLIAM THOMAS GEORGE  ",01 SEPTEMBER 1896,29 JUNE 1978),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1165
"DIXON, EDWARD JOHN  ",1833,05 APRIL 1905),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/461
"DIXON, BRIAN JAMES  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1166
"DIXON, JUDITH LORRAINE  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1167
"DIXON, MARTIN FRANCIS  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/16
"DOBSON, FRANK STANLEY  ",20 APRIL 1835,01 JUNE 1895),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/462
"DODGSHUN, KEITH  ",31 JULY 1893,12 MAY 1971),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1168
"DOLLIS, DEMETRI  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/158
"DON, CHARLES JARDINE  ",06 JUNE 1820,27 SEPTEMBER 1866),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/463
"DON, JOHN  ",10 SEPTEMBER 1918,01 APRIL 2013),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1169
"DONAGHY, JOHN  ",11 MAY 1842,09 OCTOBER 1894),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1672
"DONALD, JOHN  ",1830,17 OCTOBER 1920),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1079
"DOUBE, VALENTINE JOSEPH  ",03 JANUARY 1915,18 JANUARY 1988),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1171
"DOUGHARTY, JOHN GEORGE  ",03 SEPTEMBER 1823,14 NOVEMBER 1889),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/464
"DOW, JOHN LAMONT  ",08 DECEMBER 1837,16 JULY 1923),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/465
"DOWLING, THOMAS  ",06 DECEMBER 1820,08 JULY 1914),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/466
"DOWNWARD, ALFRED  ",1847,26 JUNE 1930),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/467
"DOWNWARD, HERBERT EDWARD GRAHAM  ",25 APRIL 1880,05 JULY 1973),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1170
"DOYLE, JULIAN JOHN  ",26 JULY 1935,16 SEPTEMBER 2007),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1172
"DOYLE, ROBERT KEITH BENNETT  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/245
"DRAKEFORD, ARTHUR SAMUEL   ",26 APRIL 1878,09 JUNE 1957),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1174
"DRAKEFORD, ARTHUR HAROLD FINCH  ",08 FEBRUARY 1904,13 JUNE 1959),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/286
"DREW, HAROLD VINCENT  ",12 OCTOBER 1902,02 DECEMBER 1970),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1175
"DRUM, DAMIAN KEVIN  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1686
"DUFFUS, JAMES FRANCIS  ",1853,27 SEPTEMBER 1923),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/468
"DUFFY, CHARLES GAVAN  ",12 APRIL 1816,09 FEBRUARY 1903),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/469
"DUFFY, JOHN GAVAN  ",15 OCTOBER 1844,08 MARCH 1917),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/470
"DUGGAN, DANIEL JOSEPH  ",20 OCTOBER 1855,27 FEBRUARY 1910),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/473
"DUNCAN, WALTER  ",1833,25 NOVEMBER 1910),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/471
"DUNCAN, JOANNE THERESE  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/234
"DUNN, JOHN NANKIVILLE  ",1839,05 MARCH 1930),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/474
"DUNN, JAMES HECTOR MCRAE  ",22 APRIL 1886,08 NOVEMBER 1975),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1177
"DUNN, BERNARD PHILLIP  ",19 AUGUST 1944,15 JUNE 2018),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1176
"DUNN, SAMANTHA  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/117
"DUNSTAN, ALBERT ARTHUR  ",26 JULY 1882,14 APRIL 1950),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1178
"DUNSTAN, ROBERTS CHRISTIAN  ",05 NOVEMBER 1922,11 OCTOBER 1989),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1179
"DUNSTONE, WILLIAM  ",27 OCTOBER 1877,12 APRIL 1944),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1173
"DWYER, JEREMIAH  ",25 JANUARY 1841,13 JANUARY 1883),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/475
"DYER, JOHN HENRY  ",1852,16 NOVEMBER 1923),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/476
"DYTE, CHARLES  ",29 JULY 1819,27 DECEMBER 1893),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/477
"EAGER, CLIFDEN HENRY ANDREWS  ",14 JUNE 1882,11 AUGUST 1969),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1180
"EBDEN, CHARLES HOTSON  ",26 SEPTEMBER 1811,28 OCTOBER 1867),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/478
"EBERY, WILLIAM THOMAS  ",31 AUGUST 1925,10 MAY 2017),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1181
"ECKSTEIN, ANNE LORE  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1655
"EDDY, RANDOLPH JOHN   ",02 MAY 1918,05 MAY 1989),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1182
"EDGAR, WILLIAM HASLAM  ",21 JANUARY 1858,06 JUNE 1948),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1183
"EDMUNDS, FREDERICK LEWIS  ",12 APRIL 1901,23 JUNE 1985),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1187
"EDMUNDS,  THOMAS  ",24 OCTOBER 1925,02 FEBRUARY 2003),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1186
"EDWARDS, JOHN  ",25 DECEMBER 1836,21 MAY 1882),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/479
"EGGLESTON, FREDERIC WILLIAM  ",17 OCTOBER 1875,12 NOVEMBER 1954),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1188
"EIDEH, KHALIL  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/63
"ELDER, STEPHEN NOEL  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/159
"ELLIOT, DOUGLAS GEORGE  ",12 FEBRUARY 1917,25 MARCH 1989),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1189
"ELLIOTT, LORRAINE CLARE  ",09 JULY 1943,02 JULY 2014),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/246
"ELLIS, JOHN MCDONALD  ",08 DECEMBER 1872,02 JULY 1945),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1184
"ELMSLIE, GEORGE ALEXANDER  ",21 FEBRUARY 1861,11 MAY 1918),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1185
"ELSBURY, ANDREW WARREN  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1720
"EMBLING, THOMAS  ",26 AUGUST 1814,17 JANUARY 1893),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/480
"EMBLING, WILLIAM HENRY  ",25 SEPTEMBER 1840,24 MAY 1912),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/481
"EMMETT, EDWARD NUCELLA  ",18 FEBRUARY 1817,18 MARCH 1874),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/483
"EREN, TAYFUN ERGUN  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/148
"ERNST, GRAHAM KEITH  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1190
"EVANS, GEORGE SAMUEL  ",03 JUNE 1802,23 SEPTEMBER 1868),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/978
"EVANS, GORDON HENRY JAMES  ",21 OCTOBER 1825,24 MAY 1885),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/482
"EVANS, WILLIAM JOHN  ",18 APRIL 1856,22 AUGUST 1914),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1194
"EVANS,  THOMAS  ",14 FEBRUARY 1917,30 AUGUST 2009),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1191
"EVANS, BRUCE JAMES  ",21 JANUARY 1925,08 NOVEMBER 2012),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1192
"EVANS, DAVID MYLOR  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1193
"EVERARD, JOHN  ",07 APRIL 1825,29 AUGUST 1886),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/484
"EVERARD, WILLIAM HUGH  ",28 NOVEMBER 1869,12 APRIL 1950),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1195
"FAIRBAIRN, GEORGE  ",28 APRIL 1816,18 JULY 1895),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/485
"FAIRBAIRN, GEORGE  ",23 MARCH 1855,23 OCTOBER 1943),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1197
"FAIRBAIRN, JAMES VALENTINE  ",28 JULY 1897,13 AUGUST 1940),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1198
"FALKINER, NORMAN FRASER  ",20 NOVEMBER 1872,11 MAY 1929),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1201
"FARIE, CLAUD   ",05 DECEMBER 1816,22 AUGUST 1870),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/488
"FARRELL, JAMES  ",11 JANUARY 1829,07 NOVEMBER 1890),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/486
"FARRER, JAMES FARISH  ",06 JANUARY 1875,06 JULY 1967),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1196
"FARTHING, ALFRED ALEXANDER  ",01 SEPTEMBER 1872,09 NOVEMBER 1953),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1202
"FAWKNER, JOHN PASCOE  ",20 OCTOBER 1792,04 SEPTEMBER 1869),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/487
"FEILD, WILLIAM GUARD  ",23 NOVEMBER 1847,15 MAY 1905),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/489
"FELL, ROBERT WILLIAM  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1203
"FELLOWS, THOMAS HOWARD  ",OCTOBER 1822,08 APRIL 1878),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/490
"FELTHAM, PERCY VICTOR  ",24 MAY 1902,24 OCTOBER 1986),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1204
"FENNESSY, LEO MICHAEL  ",07 JUNE 1907,14 FEBRUARY 1992),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1205
"FERGUSON, JOSEPH  ",UNKNOWN,24 FEBRUARY 1912),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/491
"FERGUSON, DONALD PATRICK JOHN  ",18 SEPTEMBER 1907,06 DECEMBER 1987),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1208
"FERGUSSON, JAMES  ",1829,03 APRIL 1888),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/492
"FETHERSTON, RICHARD HERBERT JOSEPH  ",02 MAY 1864,03 JUNE 1943),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1209
"FEWSTER, GEORGE MICHAEL HARRINGTON  ",06 DECEMBER 1896,15 JANUARY 1970),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1206
"FIELD, FREDERICK JAMES  ",1848,07 SEPTEMBER 1909),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1211
"FIELD, FRANCIS  ",23 DECEMBER 1904,04 JUNE 1985),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1210
"FIELDING, WILLIAM HARRIS  ",24 JUNE 1852,14 APRIL 1916),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1207
"FINCHAM, GEORGE RANDALL  ",01 JANUARY 1829,22 MARCH 1901),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/493
"FINDLAY, JOHN  ",07 DECEMBER 1812,18 APRIL 1859),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/494
"FINDLEY, EDWARD  ",08 SEPTEMBER 1864,26 OCTOBER 1947),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/287
"FINK, BENJAMIN JOSMAN  ",21 APRIL 1847,17 SEPTEMBER 1909),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/495
"FINK, THEODORE  ",03 JULY 1855,25 APRIL 1942),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/496
"FINN, PETER THOMAS  ",UNKNOWN,01 APRIL 1911),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/497
"FIREBRACE, ROBERT TARVER  ",UNKNOWN,07 DECEMBER 1903),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/498
"FISHER, JOHN  ",14 JULY 1833,02 MARCH 1907),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/499
"FITZGERALD, NICHOLAS  ",07 AUGUST 1829,17 AUGUST 1908),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/500
"FITZHERBERT, MARGARET  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/120
"FLETCHER, JOHN  ",20 OCTOBER 1843,23 MARCH 1915),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1199
"FLINT, DANIEL RATCLIFFE  ",16 NOVEMBER 1831,06 OCTOBER 1887),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/501
"FLOYD, WILLIAM LAURENCE  ",13 JULY 1908,06 OCTOBER 1999),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1212
"FOGARTY, WILLIAM FRANCIS  ",01 JUNE 1922,13 JULY 2001),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1213
"FOLEY, KEVIN JAMES  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1675
"FOOTT, NICHOLAS  ",1800,24 SEPTEMBER 1868),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/502
"FORDHAM, ROBERT CLIVE  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1215
"FORLONGE, WILLIAM  ",13 MAY 1813,15 SEPTEMBER 1890),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/503
"FORREST, CHARLES LAMOND  ",16 SEPTEMBER 1838,30 AUGUST 1912),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/504
"FORREST, FREDERICK EDWARD  ",09 APRIL 1877,20 OCTOBER 1930),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1216
"FORWOOD, WILLIAM   ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/247
"FOSTER, HENRY  ",26 JANUARY 1846,25 MAY 1902),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/505
"FOSTER-VESEY-FITZGERALD, JOHN FITZGERALD LESLIE  ",19 AUGUST 1818,03 JANUARY 1900),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/506
"FOTHERINGHAM, JACOB  ",19 OCTOBER 1865,20 JUNE 1924),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1200
"FRANCIS, JAMES GOODALL  ",09 JANUARY 1819,25 JANUARY 1884),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/507
"FRANCIS, CHARLES HUGH  ",15 JULY 1924,14 AUGUST 2009),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1217
"FRASER, ALEXANDER  ",02 JANUARY 1802,20 AUGUST 1888),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/509
"FRASER, WILLIAM  ",1838,30 JULY 1895),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/510
"FRASER, SIMON  ",21 AUGUST 1832,30 JULY 1919),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/508
"FRASER, ARCHIBALD MCDONALD  ",06 JUNE 1896,30 AUGUST 1979),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1219
"FRASER, ALEXANDER JOHN  ",22 AUGUST 1892,09 JULY 1965),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1218
"FRAZER, WILLIAM  ",13 DECEMBER 1831,13 DECEMBER 1870),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/511
"FROST, GEORGE CLEMENT  ",24 FEBRUARY 1869,26 OCTOBER 1942),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1220
"FRY, WILLIAM GORDON  ",12 JUNE 1909,29 SEPTEMBER 2000),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1222
"FULTON, WILLIAM OLIVER  ",24 FEBRUARY 1891,27 AUGUST 1975),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1221
"FURLETTI, CARLO ANGELO  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/248
"FYFE, ALEXANDER  ",1826,02 MAY 1903),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/512
"FYFFE, CHRISTINE  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/71
"GAINEY, RICHARD JOHN  ",04 SEPTEMBER 1890,15 JULY 1975),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1223
"GAIR, MACKAY JOHN SCOBIE  ",21 MARCH 1847,15 OCTOBER 1931),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/513
"GALBALLY, JOHN WILLIAM  ",02 AUGUST 1910,08 JULY 1990),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1225
"GALVIN,  WILLIAM  ",30 APRIL 1903,01 JULY 1966),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1226
"GARBUTT, SHERRYL MAREE  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/249
"GARDINER, JOHN  ",03 NOVEMBER 1848,28 OCTOBER 1929),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/514
"GARDNER, ROBERT ARTHUR  ",20 NOVEMBER 1916,01 JANUARY 2002),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1233
"GARLICK, LOUIS FREDERICK CORNU  ",16 SEPTEMBER 1910,13 DECEMBER 2002),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1229
"GARRATT, JOHN MASTERS  ",18 NOVEMBER 1827,11 JUNE 1881),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/515
"GARRETT, RAYMOND WILLIAM  ",19 OCTOBER 1900,12 OCTOBER 1994),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1230
