name,page,house,elected,electorate,retired
"Abbey, Hon Charles Roy",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/D3259F2E4FB0739C482577E50028A4F5?OpenDocument#current,MLC,22 May 1958,Central,1977
"Abbott, Mr Arthur Valentine Rutherford",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/9F3465B93D8153E7482577E50028A4F6?OpenDocument#current,MLA,18 March 1939,North Perth; Mt Lawley,1956
"Abetz, Mr Peter",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/BE39359630ABC1DE48257C77000DCF23?OpenDocument#current,MLA,6 September 2008,Southern River,2017
"Ackland, Mr John Hugh",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/6A42C845D8F956DC482577E50028A4F7?OpenDocument#current,MLA,15 March 1947,Irwin-Moore; Moore,1958
"Ainsworth, Mr Ross Andrew",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/B7ECCAF69CE1CE8C482577E50028A4F8?OpenDocument#current,MLA,4 February 1989,Roe,2005
"Airey, Hon Diane Phyllis",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/76D5CF356FA36966482577E50028A4F9?OpenDocument#current,MLC,2 February 1993,South Metropolitan,1993
"Alban, Mr Francesco (Frank) Angelo",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/56FC90FEC7B34F1548257C77000DDC6B?OpenDocument#current,MLA,6 September 2008,Swan Hills,2017
"Aldridge, Hon Martin",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/134E9BA798857FC448257CB50049FA80?OpenDocument#current,MLC,5 April 2013,Agricultural,
"Alexander, Dr Ian Christopher",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/B7E5E4075EE1F0D6482577E50028A4FA?OpenDocument#current,MLA,9 May 1987,Perth,1993
"Alexander, Hon William",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/7F9BC7837D6E1CF3482577E50028A4FB?OpenDocument#current,MLC,25 July 1895,Central,1898
"Allen, Mr Ebenezer",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/32491D035B28BD35482577E50028A4FC?OpenDocument#current,MLA,3 October 1911,West Perth,1921
"Allen, Hon Joseph Francis",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/98F5269761E00E59482577E50028A4FD?OpenDocument#current,MLC,22 May 1914,West,1920
"Allsop, Frederick William",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/0C6325AFE39621F4482577E50028A4FE?OpenDocument#current,MLC,22 May 1930,North East,1932
"Amherst, Hon Josceline George Herbert",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/69615A5CF58C68B5482577E50028A4FF?OpenDocument#current,MLC,24 December 1890,Nominated,1894
"Andrew, Mr Hugh David",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/ED487595B5065676482577E50028A500?OpenDocument#current,MLA,14 February 1953,Victoria Park,1961
"Andrews, Mr Paul William",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/B4EC65A586865F6F482577E50028A501?OpenDocument#current,MLA,10 February 2001,Southern River,2008
"Angelo, Mr Edward Houghton",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/A24B9A5343C96E1C482577E50028A503?OpenDocument#current,MLA MLC,29 September 1917,Gascoyne; North,1933
"Angwin, Mr William Charles",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/1B00F353F145E336482577E50028A504?OpenDocument#current,MLA,28 June 1904,East Fremantle; North–East Fremantle,1927
"Anstey, Hon Harry Francis",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/180D327A2D457A3E482577E50028A505?OpenDocument#current,MLC,22 August 1893,Nominated,1894
"Anwyl, Ms Megan Irene",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/D5F09F02AECF4F7E482577E50028A506?OpenDocument#current,MLA,16 March 1996,Kalgoorlie,2001
"Archer, Hon Shelley Frances",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/1493058D6AA99AD3482577E50028A507?OpenDocument#current,MLC,22 May 2005,Mining and Pastoral,2009
"Ardagh, Hon Richard George",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/F780DB7DAF5EC2B6482577E50028A508?OpenDocument#current,MLC,22 May 1912,North-East,1924
"Atkins, Mr William",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/A79A9986E5FB38A8482577E50028A509?OpenDocument#current,MLA,16 July 1902,Murray,1904
"Atkinson, Hon William Gordon",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/624F8BD35929F8FA482577E50028A50A?OpenDocument#current,MLC,22 May 1983,Central,1984
"Baglin, Hon Frederick Arthur",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/4A3F6D9149922385482577E50028A50B?OpenDocument#current,MLC,22 May 1920,West,1923
"Baker, Mr Christopher (Chris) John",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/F82D5BE810DCFEEA482577E50028A50C?OpenDocument#current,MLA,14 December 1996,Joondalup,2001
"Baker, Ms Lisa Loraine",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/028E94D123A45E5248257C77000E031D?OpenDocument#current,MLA,6 September 2008,Maylands,
"Baker, Mr William Leonard",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/FA9F6075A2F275C4482577E50028A50D?OpenDocument#current,MLA,20 December 1890,East Kimberley,1893
"Barker, Hon Charles William (Donald)",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/95810114E07C7D32482577E50028A50E?OpenDocument#current,MLC,22 May 1952,North,1956
"Barker, Mr Claude Osmonde",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/59C73EEF9713FF34482577E50028A50F?OpenDocument#current,MLA,18 March 1939,Irwin-Moore,1939
"Barlee, Frederick Palgrave",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/D67C95EB7B571E7448257E490022D73A?OpenDocument#current,MLC,July 1855,Nominated,1875
"Barnard, Mr George William",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/6884D32E717F8F0F482577E50028A510?OpenDocument#current,MLA,22 March 1924,Sussex,1933
"Barnett, Mr Colin James",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/B8B8DCC4E189E7EC48257C75000964CD?OpenDocument#current,MLA,11 August 1990,Cottesloe,2018
"Barnett, Mr Edward Charles",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/C7B610B7ABD286A2482577E50028A512?OpenDocument#current,MLA,27 October 1905,Albany,1909
"Barnett, Mr Michael",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/D377268B89CB605A482577E50028A513?OpenDocument#current,MLA,30 March 1974,Rockingham,1996
"Barron-Sullivan, Mr Daniel (Dan) Frank",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/7C134EB75F4ECA25482577E50028A514?OpenDocument#current,MLA,14 December 1996,Mitchell; Leschenault,2008
"Baston, Hon Kenneth (Ken) Charles",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/1A028739CF19ECA948257C75000BE77F?OpenDocument#current,MLC,22 May 2005,Mining and Pastoral,
"Bateman, Mr Thomas Henry",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/97D3BD492531DA7F482577E50028A516?OpenDocument#current,MLA,23 March 1968,Canning,1986
"Bath, Mr Thomas Henry",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/5CFB2F1EC0D6D96D482577E50028A517?OpenDocument#current,MLA,15 October 1902,Hannans; Brownhill; Avon,1914
"Baxter, Hon Charles Farquharson",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/9649DA975991F43A482577E50028A518?OpenDocument#current,MLC,22 May 1914,East,1950
"Baxter, Hon Norman Eric",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/F044A14C38869A64482577E50028A519?OpenDocument#current,MLC,6 May 1950,Central,1983
"Beggs, Mrs Pamela Anne",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/1B2F1092610CA5AA482577E50028A51A?OpenDocument#current,MLA,19 February 1983,Whitford,1993
"Behjat, Hon Elizabeth (Liz) Lloyd",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/92D47D1FABB0009648257C77000E11F3?OpenDocument#current,MLC,22 May 2009,North Metropolitan,2017
"Bell, Hon Colin John",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/B0491B145F3FAD16482577E50028A51B?OpenDocument#current,MLC,22 May 1983,Lower West,1989
"Bellingham, Hon George Henry John",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/1DC1C8405940FB9E482577E50028A51C?OpenDocument#current,MLC,5 September 1900,South,1908
"Bennetts, Hon George",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/09924F1907BB2CB5482577E50028A51D?OpenDocument#current,MLC,22 May 1946,South,1965
"Benson-Lidholm, Hon Matthew (Matt) Francis",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/CFFE600BB7BB394F482577E50028A51E?OpenDocument#current,MLC,26 February 2005,Agricultural; South West,2013
"Berinson, Hon Joseph Max",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/1B45789EE5EE0E7C482577E50028A51F?OpenDocument#current,MLC,22 May 1980,North East Metropolitan; North Central; North Metropolitan,1993
"Berry, Hon George William",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/780830A59122C3B3482577E50028A520?OpenDocument#current,MLC,22 May 1968,Lower North,1980
"Berry, Mr Horace Thurston",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/90A340694919CF12482577E50028A521?OpenDocument#current,MLA,9 September 1939,Irwin-Moore,1947
"Bertram, Mr Ronald Edward",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/A1465D596CB4ACED482577E50028A522?OpenDocument#current,MLA,23 March 1968,Mount Hawthorn,1989
"Bickerton, Mr Arthur William",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/F404548394CC8AD3482577E50028A523?OpenDocument#current,MLA,24 April 1958,Pilbara,1974
"Bickley, Wallace (Samuel) Alexander",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/7868A0D06FD512CD48257E4A000058D2?OpenDocument#current,MLC,29 July 1872,Nominated,1876
"Birch, Edmund",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/C530B4CCD2FE3B2348257E4A0002EC33?OpenDocument#current,MLC,18 November 1873,Perth,1875
"Birney, Mr Matthew (Matt) John",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/42B30F31214BB807482577E50028A524?OpenDocument#current,MLA,2 October 2001,Kalgoorlie,2008
"Blaikie, Mr Barry Roy",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/D84F35D0AFAF1536482577E50028A525?OpenDocument#current,MLA,20 February 1971,Vasse,1996
"Blayney, Mr Ian Charles",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/C628C77EAFF2B4EC48257C9F00058AFD?OpenDocument#current,MLA,6 September 2008,Geraldton,
"Bloffwitch, Mr Robert (Bob) Clyde",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/4685D081D6B3CDD7482577E50028A526?OpenDocument#current,MLA,13 April 1991,Geraldton,2001
"Boan, Hon Henry",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/A52EC91B52E70686482577E50028A527?OpenDocument#current,MLC,14 April 1917,Metropolitan; Metropolitan–Suburban,1924
"Board, Mr Michael (Mike) Francis",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/E7FCCF4AE1D249FD482577E50028A528?OpenDocument#current,MLA,6 February 1993,Jandakot; Murdoch,2005
"Bolton, Mr Harry Edward",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/42CD6ACA68D3E504482577E50028A529?OpenDocument#current,MLA,28 June 1904,North Fremantle,1919
"Bolton, Hon Leonard Burlington",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/3C6E343F42F4484D482577E50028A52A?OpenDocument#current,MLC,6 February 1932,Metropolitan,1948
"Bovell, Sir William Stewart",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/CE91EBCA96938813482577E50028A52B?OpenDocument#current,MLA,7 June 1947,Sussex,1971
"Bowler, Mr John James Mansell",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/ECF717086C7F8F9E482577E50028A52C?OpenDocument#current,MLA,10 February 2001,Eyre; Murchison-Eyre; Kalgoorlie,2013
"Boydell, Hon Jacqui Ellen",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/23F5A1ED5E07F7C948257CB5004ADDD2?OpenDocument#current,MLC,22 May 2013,Mining and Pastoral,
"Boyland, Mr John",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/4434EAA219A968D9482577E50028A52D?OpenDocument#current,MLA,12 March 1921,Kalgoorlie,1922
"Boyle, Mr Ignatius George",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/2F09487A21B1172B482577E50028A52E?OpenDocument#current,MLA,4 May 1935,Avon,1943
"Boylen, Hon Robert Joseph",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/0C2C9B2BA8125BE7482577E50028A52F?OpenDocument#current,MLC,1 February 1947,South,1955
"Bradshaw, Mr John Leslie",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/8B86DAC573884F69482577E50028A530?OpenDocument#current,MLA,19 February 1983,Murray-Wellington,2005
"Brady, Mr John Joseph",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/05166332B5C9A4A0482577E50028A531?OpenDocument#current,MLA,13 March 1948,Guildford,1974
"Brand, Sir David",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/CBD714C2DCAB934C482577E50028A532?OpenDocument#current,MLA,27 October 1945,Greenough,1975
"Brand, Hon George Edmund Dowd",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/48ABF3A1A7280B80482577E50028A533?OpenDocument#current,MLC,22 May 1965,Lower North,1971
"Brebber, Mr James",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/63FF280209C387D0482577E50028A534?OpenDocument#current,MLA,27 October 1905,North Perth,1908
"Bridge, Mr Ernest Francis",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/EF2A415FB2DCBE1B482577E50028A535?OpenDocument#current,MLA,23 February 1980,Kimberley,2001
"Briggs, Hon Henry",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/A3EA3B70A10A795C482577E50028A536?OpenDocument#current,MLC,30 June 1896,West,1919
"Brimage, Hon Thomas Federick Outridge",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/346DE927DD8ED445482577E50028A537?OpenDocument#current,MLC,5 September 1900,South,1912
"Britza, Mr Ian Maxwell",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/F0CAAE976596D49E48257C84003BFD21?OpenDocument#current,MLA,6 September 2008,Morley,2017
"Broadhurst, Charles Edward",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/0E47808529D793CF48257E4A0005DC48?OpenDocument#current,MLC,Nominated 6 July 1874,Nominated,1875
"Brockman, Mr Edmund Ralph",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/1739D3B89A82CDCC482577E50028A538?OpenDocument#current,MLC,8 January 1878,Swan,1891
"Brockman, Mr Edmund Vernon",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/83CB1D7BC83DAFB2482577E50028A539?OpenDocument#current,MLA,8 April 1933,Sussex,1938
"Brockman, Mr Henry",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/4D9ED92D3F4311B848257E590033008B?OpenDocument#current,MLC,24 October 1884,Swan,1889
"Brockman, William Locke",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/B8CC194A8EC5EF4348257E5900835A4E?OpenDocument#current,MLC,1839,Nominated,1872
"Brookman, Hon William Gordon",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/0C15F5104E6BA380482577E50028A53A?OpenDocument#current,MLC,29 August 1900,Metropolitan-Suburban,1903
"Broun, Mr Frank Tyndall",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/8B2EE41CDBCC4222482577E50028A53B?OpenDocument#current,MLA,3 October 1911,Beverley,1924
"Brown, Mr Clive Morris",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/96C71D4F3FDF6306482577E50028A53C?OpenDocument#current,MLA,6 February 1993,"Morley
Bassendean",2005
"Brown, Mr Harry",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/DC4E362113444F14482577E50028A53D?OpenDocument#current,MLA,28 June 1904,Perth,1911
"Brown, Henry James",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/A055825407F64ADE482577E50028A53E?OpenDocument#current,MLA,22 March 1924,Pingelly,1933
"Brown, Hon James McMillan",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/102E6F89B6808B6A482577E50028A53F?OpenDocument#current,MLA,20 February 1971,Merredin-Yilgarn,1992
"Brown, Hon John Reid",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/95E5650F3C8CAC1C482577E50028A541?OpenDocument#current,MLC,22 May 1924,North-East,1930
"Brown, Maitland",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/BDD0F6DD603BD04948257E5A0005DEEA?OpenDocument#current,MLC,1870,Gascoyne,1886
"Brown, Hon Paul John",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/487694FF570BBD4148257CB5004C046E?OpenDocument#current,MLC,22 May 2013,Agricultural,2017
"Brown, Mr Samuel McConnell",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/154D4C7628D5F8AA482577E50028A542?OpenDocument#current,MLA,10 November 1917,Subiaco,1921
"Brown, Mr Thomas Leishman",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/C07396B80B4E0B7C482577E50028A543?OpenDocument#current,MLA,21 November 1906,Geraldton,1908
"Bryce, Mr Malcolm John",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/99A1A608F6FC2265482577E50028A544?OpenDocument#current,MLA,13 November 1971,Ascot,1988
"Buchanan, Mrs Pamela Ann",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/1C71D7C2BEF0BE19482577E50028A545?OpenDocument#current,MLA,19 February 1983,Pilbara,1992
"Bullock, Hon Helen Hong Hui",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/A5D74174388ADFC148257C660026A5A8?OpenDocument#current,MLC,22 May 2009,Mining and Pastoral,2013
"Burges, Lockier Clere",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/18373E1F6E1324A148257E5A00085787?OpenDocument#current,MLC,14 January 1879,Nominated,1884
"Burges, Hon Richard Goldsmith",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/E436F186B0E18DA0482577E50028A546?OpenDocument#current,MLC,16 July 1894,East,1903
"Burges, Hon Thomas",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/23D340F3E3EA21E2482577E50028A548?OpenDocument#current,MLC,24 December 1890,Nominated,1893
"Burges, William",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/36D400B4056D625548257E5A000AE1E2?OpenDocument#current,MLC,24 November 1875,Nominated,1876
"Burke, Mr Brian Thomas",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/27233BA3B9773125482577E50028A549?OpenDocument#current,MLA,28 July 1973,Balcatta,1988
"Burke, Mr Terence Joseph",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/80015DA2C669165B482577E50028A54A?OpenDocument#current,MLA,23 March 1968,Perth,1987
"Burkett, Mr Graham John",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/C5F42E89A79520D4482577E50028A54B?OpenDocument#current,MLA,19 February 1983,Scarborough,1989
"Burt, Richard Paull Septimus",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/FC13F38B5F48CCEB482577E50028A54C?OpenDocument#current,MLA,21 March 1959,Murchison,1971
"Burt, Hon Septimus",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/0D11685976F48ED3482577E50028A54D?OpenDocument#current,MLA,29 November 1890,Ashburton,1900
"Burton, Hon Carolyn Anne",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/51C4EE953F29AC1248257CD80006077B?OpenDocument#current,MLC,17 September 2008,North Metropolitan,2009
"Burvill, Hon Alfred",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/38D78BB060FD35EF482577E50028A54E?OpenDocument#current,MLC,22 May 1922,South-East,1928
"Bush, Hon Robert Edwin",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/64DEC1B8F2F40A37482577E50028A54F?OpenDocument#current,MLC,24 December 1890,Nominated,1893
"Bussell, Alfred Pickmore",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/9574AC1EAFF3188048257E5A000C9DF6?OpenDocument#current,MLC,29 July 1872,Nominated,1874
"Bussell, John Garrett",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/DBB9C9A33981714948257E5A000E958D?OpenDocument#current,MLC,4 November 1870,Vasse,1872
"Buswell, Mr Troy Raymond",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/83C29E11C843E36E48257C75000C716B?OpenDocument#current,MLA,26 February 2005,Vasse,2014
"Butcher, Mr Noel Albert",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/99144272F689C251482577E50028A551?OpenDocument#current,MLA,13 October 1951,Gascoyne,1953
"Butcher, Mr William James (Burchell)",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/AB7B0D1CE2BE713C482577E50028A552?OpenDocument#current,MLA,24 April 1901,Gascoyne,1917
"Buti, Dr Antonio (Tony) De Paulo",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/69E6CC79B29C761748257C77000E5B55?OpenDocument#current,MLA,2 October 2010,Armadale,
"Butler, Hon Thomas George",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/D8960BDDE32EE9AD482577E50028A553?OpenDocument#current,MLC,22 May 1986,North-East Metropolitan,1995
"Buzacott, Mr Richard",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/872085B395BAD281482577E50028A554?OpenDocument#current,MLA,11 September 1908,Menzies,1923
"Cadby, Hon Alan Alfred",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/24C961CD5DA2E82F482577E50028A555?OpenDocument#current,MLC,22 May 2001,North Metropolitan,2005
"Caldwell, Hon John Norman",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/F17A7B368F8B0762482577E50028A556?OpenDocument#current,MLC,22 May 1986,South,1993
"Canning, Mr Marinus Frederick Alfred",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/E86457B9629D4ECD482577E50028A557?OpenDocument#current,MLA,19 December 1890,East Perth,1894
"Cardell-Oliver, (Annie) Florence Gillies",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/61F3819286BDD951482577E50028A558?OpenDocument#current,MLA,15 February 1936,Subiaco,1956
"Carey, Mr John Newton",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/6636083361C95685482580E5002266A3?OpenDocument#current,MLA,11 March 2017,Perth,
"Carey, Thomas Campbell",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/C8325560B95ECDF948257E5A00106283?OpenDocument#current,MLC,25 June 1872,Vasse,1884
"Carles, Ms Adele Simone",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/536156440659A6B348257C1A00141C08?OpenDocument#current,MLA,16 May 2009,Fremantle,2013
"Carpenter, Mr Alan John",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/B28C8B787996C23A482577E50028A559?OpenDocument#current,MLA,14 December 1996,Willagee,2009
"Carpenter, Mr William Henry",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/6935B708B43FD68B482577E50028A55A?OpenDocument#current,MLA,3 October 1911,Fremantle,1917
"Carr, Mr Jeffrey Phillip",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/3F957D6B157A20C4482577E50028A55B?OpenDocument#current,MLA,30 March 1974,Geraldton,1991
"Carr, Julian George Charles",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/59DFBBC16C04CDFB48257E5A00246A69?OpenDocument#current,MLC,May 1868,Perth,1873
"Carroll, Hon William",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/D978F64F668B6F8D482577E50028A55C?OpenDocument#current,MLC,11 August 1923,East,1924
"Carson, Hon Henry",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/863FDD8A67F8B7AB482577E50028A55E?OpenDocument#current,MLA MLC,4 June 1904,Geraldton,1920
"Carstairs, Hon Alan MacMillan",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/3A81149E3CB47E6B482577E50028A55F?OpenDocument#current,MLC,24 December 1996,North Metropolitan,1997
