name,page,house,elected,electorate,retired
"Hooley, Edward Timothy",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/A73009F11B4FFDE8482577E50028A666?OpenDocument#current,MLC MLA,12 December 1891,Nominated,1900
"Hopkins, John Marquis",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/DB5CDEC81644E026482577E50028A668?OpenDocument#current,MLA,24 April 1901,Boulder,1910
"Horan, Austin Alvis",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/69CD056BB0677D8F482577E50028A669?OpenDocument#current,MLA,28 June 1904,Yilgarn,1911
"Horgan, John (William)",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/9BC1AF29DEBEFDF048257E5E0027AB61?OpenDocument#current,MLC,28 May 1888,Perth,1889
"Hough, Hon Francis (Frank) Carson",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/EE4E0CC367D6B1AA482577E50028A66A?OpenDocument#current,MLC,22 May 2001,Agricultural,2005
"House, Hon Barry John",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/06D8436C792DBC4248257C75000F68B1?OpenDocument#current,MLC,24 October 1987,South West,2017
"House, Edward Charles",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/95C69D7F66CF14C4482577E50028A66C?OpenDocument#current,MLC,22 May 1965,South,1971
"House, Mr Montague (Monty) Grant",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/7CEC386D044C1A22482577E50028A66D?OpenDocument#current,MLA,8 February 1986,Katanning-Roe; Stirling,2005
"Hubble, George Yorke",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/EE67B95977DCFDA3482577E50028A66E?OpenDocument#current,MLA,28 April 1897,Gascoyne,1901
"Hudson, Charles Arthur",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/B160A8FE86687C7E482577E50028A66F?OpenDocument#current,MLA,20 November 1905,Dundas,1921
"Hughes, Clive Matthew",https://www.parliament.wa.gov.au/parliament/library/MPHistoricalData.nsf/(Lookup)/03BA27EF7121321C482577E50028A670?OpenDocument#current,MLA,17 November 1984,Cockburn,1986
