politician,place_of_education,start_time,end_time,degree,major
Q550879,Q4782976,"NA","NA","NA","NA"
Q550879,Q7570981,"NA","NA","NA","NA"
Q550879,Q7824345,"NA","NA","NA","NA"
Q550879,Q866012,"NA","NA","NA","NA"
