politician,date_of_birth,place_of_birth,date_of_death,position,start_date,end_date,electoral_district,replaced_by,replaces,series_ordinal,flag
Q5640733,+1872-03-29T00:00:00Z,Q3785320,+1953-02-12T00:00:00Z,Q1550276,+1919-04-17T00:00:00Z,+1919-05-17T00:00:00Z,NA,Q1680838,Q12061130,12,0
Q5640733,+1872-03-29T00:00:00Z,Q3785320,+1953-02-12T00:00:00Z,Q6814428,+1929-07-01T00:00:00Z,+1933-03-20T00:00:00Z,Q56649104,Q15971154,NA,NA,0
Q5640733,+1872-03-29T00:00:00Z,Q3785320,+1953-02-12T00:00:00Z,Q19627913,+1912-05-22T00:00:00Z,+1923-07-10T00:00:00Z,NA,Q8006594,NA,NA,0
Q5640733,+1872-03-29T00:00:00Z,Q3785320,+1953-02-12T00:00:00Z,Q19627913,+1940-05-11T00:00:00Z,+1948-05-08T00:00:00Z,Q6825213,NA,NA,NA,0
