politician,date_of_birth,place_of_birth,date_of_death,position,start_date,end_date,electoral_district,replaced_by,replaces,series_ordinal,flag
Q7659676,+1909-06-17T00:00:00Z,Q3130,+1995-06-16T00:00:00Z,Q18912794,+1961-12-09T00:00:00Z,+1963-11-30T00:00:00Z,Q5284559,Q8004641,Q8004641,"NA",0
Q7659676,+1909-06-17T00:00:00Z,Q3130,+1995-06-16T00:00:00Z,Q19202748,+1965-11-06T00:00:00Z,+1971-01-13T00:00:00Z,Q5355134,NA,Q16012275,"NA",0
Q7659676,+1909-06-17T00:00:00Z,Q3130,+1995-06-16T00:00:00Z,Q19202748,+1971-02-13T00:00:00Z,+1981-08-28T00:00:00Z,Q5356088,Q5394675,NA,"NA",0
