politician,date_of_birth,place_of_birth,date_of_death,position,start_date,end_date,electoral_district,replaced_by,replaces,series_ordinal,flag
Q25350560,+1975-03-18T00:00:00Z,Q705705,"NA",Q18912794,+2016-07-02T00:00:00Z,+2018-05-10T00:00:00Z,Q924832,NA,Q4962429,"NA",0
Q25350560,+1975-03-18T00:00:00Z,Q705705,"NA",Q18912794,+2018-07-28T00:00:00Z,+2019-05-18T00:00:00Z,Q924832,Q64222282,NA,"NA",0
Q25350560,+1975-03-18T00:00:00Z,Q705705,"NA",Q3364526,+2009-00-00T00:00:00Z,+2016-00-00T00:00:00Z,NA,NA,NA,"NA",0
