politician,date_of_birth,place_of_birth,date_of_death,position,start_date,end_date,electoral_district,replaced_by,replaces,series_ordinal,flag
Q15525008,+1964-02-18T00:00:00Z,Q166002,"NA",Q18912794,+1996-03-03T00:00:00Z,+2007-10-17T00:00:00Z,Q1074066,Q5231642,Q7369337,"NA",0
Q15525008,+1964-02-18T00:00:00Z,Q166002,"NA",Q11796981,+1998-10-21T00:00:00Z,+2001-11-26T00:00:00Z,NA,Q7356268,Q4758721,"NA",0
Q15525008,+1964-02-18T00:00:00Z,Q166002,"NA",Q2660943,+1998-10-21T00:00:00Z,+2001-11-26T00:00:00Z,NA,Q6210353,Q4758721,"NA",0
