politician,date_of_birth,place_of_birth,date_of_death,position,start_date,end_date,electoral_district,replaced_by,replaces,series_ordinal,flag
Q6702024,+1959-04-28T00:00:00Z,Q1008383,"NA",Q18912794,+2001-11-10T00:00:00Z,+2019-04-11T00:00:00Z,Q1074235,Q63993700,Q5524195,"NA",0
Q6702024,+1959-04-28T00:00:00Z,Q1008383,"NA",Q6865809,+2013-09-18T00:00:00Z,+2015-09-21T00:00:00Z,NA,NA,Q4354268,"NA",0
Q6702024,+1959-04-28T00:00:00Z,Q1008383,"NA",Q11796967,+2015-09-21T00:00:00Z,+2016-02-18T00:00:00Z,NA,Q7437180,NA,"NA",0
