politician,date_of_birth,place_of_birth,date_of_death,position,start_date,end_date,electoral_district,replaced_by,replaces,series_ordinal,flag
Q7970485,+1950-03-30T00:00:00Z,Q3114,"NA",Q18912794,+2001-11-10T00:00:00Z,NA,Q2973722,NA,NA,"NA",0
Q7970485,+1950-03-30T00:00:00Z,Q3114,"NA",Q6865985,+2010-09-13T00:00:00Z,+2013-09-18T00:00:00Z,NA,Q6833958,Q4706771,"NA",0
Q7970485,+1950-03-30T00:00:00Z,Q3114,"NA",Q6865787,+2010-09-14T00:00:00Z,+2013-09-18T00:00:00Z,NA,Q7627022,Q4706771,"NA",0
Q7970485,+1950-03-30T00:00:00Z,Q3114,"NA",Q18912794,+1987-07-11T00:00:00Z,+1996-03-02T00:00:00Z,Q5284556,Q15485299,Q7150545,"NA",0
Q7970485,+1950-03-30T00:00:00Z,Q3114,"NA",Q18912794,+1998-10-03T00:00:00Z,+2001-11-10T00:00:00Z,Q5284556,NA,Q15485299,"NA",0
