politician,date_of_birth,place_of_birth,date_of_death,position,start_date,end_date,electoral_district,replaced_by,replaces,series_ordinal,flag
Q16029310,+1865-11-15T00:00:00Z,Q1426910,+1932-02-06T00:00:00Z,Q6814428,+1917-03-01T00:00:00Z,+1923-06-30T00:00:00Z,Q56649108,NA,Q7377449,NA,0
Q16029310,+1865-11-15T00:00:00Z,Q1426910,+1932-02-06T00:00:00Z,Q13527933,+1909-10-20T00:00:00Z,+1909-10-27T00:00:00Z,NA,Q5365686,Q5365686,22,0
Q16029310,+1865-11-15T00:00:00Z,Q1426910,+1932-02-06T00:00:00Z,Q13527933,+1914-04-06T00:00:00Z,+1916-04-15T00:00:00Z,NA,Q7965429,Q4711244,NA,0
