politician,date_of_birth,place_of_birth,date_of_death,position,start_date,end_date,electoral_district,replaced_by,replaces,series_ordinal,flag
Q2313174,+1926-01-15T00:00:00Z,Q1543632,+2011-04-07T00:00:00Z,Q50390608,+1975-12-17T00:00:00Z,+1976-05-14T00:00:00Z,NA,NA,NA,"NA",0
Q2313174,+1926-01-15T00:00:00Z,Q1543632,+2011-04-07T00:00:00Z,Q18912794,+1980-10-18T00:00:00Z,+1993-02-08T00:00:00Z,Q2973724,Q6770126,Q7183994,"NA",0
Q2313174,+1926-01-15T00:00:00Z,Q1543632,+2011-04-07T00:00:00Z,Q19202748,+1965-11-06T00:00:00Z,+1980-08-29T00:00:00Z,Q5355834,Q7175195,Q16003859,"NA",0
