politician,date_of_birth,place_of_birth,date_of_death,position,start_date,end_date,electoral_district,replaced_by,replaces,series_ordinal,flag
Q1388459,+1894-04-30T00:00:00Z,Q5328922,+1965-11-02T00:00:00Z,Q5096795,+1960-02-15T00:00:00Z,+1962-10-24T00:00:00Z,NA,Q6530880,Q16067484,"NA",0
Q1388459,+1894-04-30T00:00:00Z,Q5328922,+1965-11-02T00:00:00Z,Q4818607,+1941-10-07T00:00:00Z,+1949-12-19T00:00:00Z,NA,Q16008459,Q152666,"NA",0
Q1388459,+1894-04-30T00:00:00Z,Q5328922,+1965-11-02T00:00:00Z,Q2660943,+1941-10-07T00:00:00Z,+1949-12-19T00:00:00Z,NA,Q2070305,Q1452902,"NA",0
Q1388459,+1894-04-30T00:00:00Z,Q5328922,+1965-11-02T00:00:00Z,Q18912794,+1940-09-21T00:00:00Z,+1958-11-22T00:00:00Z,Q1074151,Q6525667,Q4710678,"NA",0
Q1388459,+1894-04-30T00:00:00Z,Q5328922,+1965-11-02T00:00:00Z,Q19202748,+1925-05-30T00:00:00Z,+1930-09-18T00:00:00Z,Q5355074,Q16023289,Q16030926,"NA",0
Q1388459,+1894-04-30T00:00:00Z,Q5328922,+1965-11-02T00:00:00Z,Q18912794,+1958-11-22T00:00:00Z,+1960-02-10T00:00:00Z,Q1074124,Q4895148,Q7372234,"NA",0
Q1388459,+1894-04-30T00:00:00Z,Q5328922,+1965-11-02T00:00:00Z,Q121998,NA,NA,NA,NA,NA,"NA",0
