politician,date_of_birth,place_of_birth,date_of_death,position,start_date,end_date,electoral_district,replaced_by,replaces,series_ordinal,flag
Q4932363,+1927-04-15T00:00:00Z,Q187859,"NA",Q4818607,+1975-12-22T00:00:00Z,+1977-09-06T00:00:00Z,NA,Q7173773,Q15453664,24,0
Q4932363,+1927-04-15T00:00:00Z,Q187859,"NA",Q18912794,+1974-05-18T00:00:00Z,+1981-02-17T00:00:00Z,Q2973891,Q7173326,Q1820470,NA,0
Q4932363,+1927-04-15T00:00:00Z,Q187859,"NA",Q3489387,+1969-05-15T00:00:00Z,+1973-11-23T00:00:00Z,NA,Q6792926,Q4773043,5,0
Q4932363,+1927-04-15T00:00:00Z,Q187859,"NA",Q19345638,+1981-03-02T00:00:00Z,+1983-02-24T00:00:00Z,NA,NA,NA,NA,0
