politician,date_of_birth,place_of_birth,date_of_death,position,start_date,end_date,electoral_district,replaced_by,replaces,series_ordinal,flag
Q3180236,+1962-01-16T00:00:00Z,Q14206163,"NA",Q6865745,+2013-07-02T00:00:00Z,+2013-09-18T00:00:00Z,NA,Q4861362,Q6211016,"NA",0
Q3180236,+1962-01-16T00:00:00Z,Q14206163,"NA",Q18912794,+1996-03-02T00:00:00Z,NA,Q1074124,NA,Q5386488,"NA",0
Q3180236,+1962-01-16T00:00:00Z,Q14206163,"NA",Q3315112,+2007-12-03T00:00:00Z,+2009-06-04T00:00:00Z,NA,Q466003,Q908749,"NA",0
