politician,date_of_birth,place_of_birth,date_of_death,position,start_date,end_date,electoral_district,replaced_by,replaces,series_ordinal,flag
Q463507,+1970-03-17T00:00:00Z,Q260941,"NA",Q493649,+2011-05-16T00:00:00Z,+2014-12-11T00:00:00Z,NA,Q4756289,Q713954,6,0
Q463507,+1970-03-17T00:00:00Z,Q260941,"NA",Q6814428,+2015-03-25T00:00:00Z,+2018-05-09T00:00:00Z,Q56649107,Q53960880,Q6375611,NA,0
Q463507,+1970-03-17T00:00:00Z,Q260941,"NA",Q6814365,+2001-10-20T00:00:00Z,+2014-12-23T00:00:00Z,Q2973774,Q18808590,Q6121013,NA,0
Q463507,+1970-03-17T00:00:00Z,Q260941,"NA",Q6814428,+2019-05-18T00:00:00Z,NA,Q56649107,NA,NA,NA,0
