politician,date_of_birth,place_of_birth,date_of_death,position,start_date,end_date,electoral_district,replaced_by,replaces,series_ordinal,flag
Q5542020,+1872-03-20T00:00:00Z,Q1100620,+1961-11-05T00:00:00Z,Q18526194,+1912-04-27T00:00:00Z,+1915-05-22T00:00:00Z,Q5355481,Q21558825,NA,NA,0
Q5542020,+1872-03-20T00:00:00Z,Q1100620,+1961-11-05T00:00:00Z,Q18912794,+1917-05-05T00:00:00Z,+1934-08-07T00:00:00Z,Q2973718,Q1239776,Q6119323,NA,0
Q5542020,+1872-03-20T00:00:00Z,Q1100620,+1961-11-05T00:00:00Z,Q7574256,+1932-02-17T00:00:00Z,+1934-08-07T00:00:00Z,NA,Q5541108,Q7052568,8,0
