politician,date_of_birth,place_of_birth,date_of_death,position,start_date,end_date,electoral_district,replaced_by,replaces,series_ordinal,flag
Q5537216,+1957-06-22T00:00:00Z,Q3130,"NA",Q4818607,+2013-09-18T00:00:00Z,+2017-12-20T00:00:00Z,NA,Q5110039,Q6767411,36,0
Q5537216,+1957-06-22T00:00:00Z,Q3130,"NA",Q6865994,+2013-09-18T00:00:00Z,+2015-09-21T00:00:00Z,NA,Q6880868,Q7356268,NA,0
Q5537216,+1957-06-22T00:00:00Z,Q3130,"NA",Q6814428,+2000-05-16T00:00:00Z,+2018-02-08T00:00:00Z,Q56649111,Q50808634,Q6035315,NA,0
Q5537216,+1957-06-22T00:00:00Z,Q3130,"NA",Q17009655,+2015-09-20T00:00:00Z,+2017-12-20T00:00:00Z,NA,Q1813692,Q964840,NA,0
Q5537216,+1957-06-22T00:00:00Z,Q3130,"NA",Q11122003,+2013-09-18T00:00:00Z,+2017-12-20T00:00:00Z,NA,Q1813692,Q1449483,NA,0
