politician,date_of_birth,place_of_birth,date_of_death,position,start_date,end_date,electoral_district,replaced_by,replaces,series_ordinal,flag
Q3182215,+1945-06-07T00:00:00Z,Q3191785,"NA",Q6814428,+1990-05-07T00:00:00Z,+1992-05-04T00:00:00Z,Q56649110,Q4706609,Q7822968,NA,0
Q3182215,+1945-06-07T00:00:00Z,Q3191785,"NA",Q18220900,+1979-09-15T00:00:00Z,+1985-12-06T00:00:00Z,Q50390883,NA,Q19605179,NA,0
Q3182215,+1945-06-07T00:00:00Z,Q3191785,"NA",Q27230596,+1996-11-28T00:00:00Z,+2001-10-22T00:00:00Z,NA,Q3434193,Q3020626,42,0
Q3182215,+1945-06-07T00:00:00Z,Q3191785,"NA",Q18220900,+1985-12-07T00:00:00Z,+1990-05-06T00:00:00Z,Q5355300,Q6097721,NA,NA,0
Q3182215,+1945-06-07T00:00:00Z,Q3191785,"NA",Q18220900,+1992-05-09T00:00:00Z,+2002-02-08T00:00:00Z,Q5355553,Q6767770,Q16091192,NA,0
Q3182215,+1945-06-07T00:00:00Z,Q3191785,"NA",Q24189754,+1982-03-05T00:00:00Z,+1982-11-10T00:00:00Z,NA,NA,NA,NA,0
Q3182215,+1945-06-07T00:00:00Z,Q3191785,"NA",Q50390946,+1982-03-05T00:00:00Z,+1982-11-10T00:00:00Z,NA,NA,NA,NA,0
Q3182215,+1945-06-07T00:00:00Z,Q3191785,"NA",Q6508561,+1982-11-15T00:00:00Z,+1990-01-12T00:00:00Z,NA,Q5210348,Q3180992,NA,0
Q3182215,+1945-06-07T00:00:00Z,Q3191785,"NA",Q50390777,+2001-10-08T00:00:00Z,+2001-10-22T00:00:00Z,NA,NA,NA,NA,0
Q3182215,+1945-06-07T00:00:00Z,Q3191785,"NA",Q50390757,+1998-08-08T00:00:00Z,+2001-10-22T00:00:00Z,NA,NA,NA,NA,0
Q3182215,+1945-06-07T00:00:00Z,Q3191785,"NA",Q52490871,+1998-02-02T00:00:00Z,+1998-02-13T00:00:00Z,Q35715,NA,NA,NA,0
Q3182215,+1945-06-07T00:00:00Z,Q3191785,"NA",Q56173131,+1996-00-00T00:00:00Z,+2001-00-00T00:00:00Z,NA,Q3434193,Q3020626,NA,0
Q3182215,+1945-06-07T00:00:00Z,Q3191785,"NA",Q56173131,+1982-00-00T00:00:00Z,+1990-00-00T00:00:00Z,NA,Q5210348,Q3018895,NA,0
Q3182215,+1945-06-07T00:00:00Z,Q3191785,"NA",Q56812961,+1972-11-30T00:00:00Z,NA,NA,NA,NA,NA,0
