politician,date_of_birth,place_of_birth,date_of_death,position,start_date,end_date,electoral_district,replaced_by,replaces,series_ordinal,flag
Q348577,+1957-11-04T00:00:00Z,Q5532007,"NA",Q319145,+2013-09-18T00:00:00Z,+2015-09-15T00:00:00Z,NA,Q927550,Q43135,28,0
Q348577,+1957-11-04T00:00:00Z,Q5532007,"NA",Q18912794,+1994-03-26T00:00:00Z,+2019-05-18T00:00:00Z,Q1074025,Q145103,Q6832407,NA,0
Q348577,+1957-11-04T00:00:00Z,Q5532007,"NA",Q2460433,+2009-12-01T00:00:00Z,+2013-09-18T00:00:00Z,NA,Q1077015,Q927550,NA,0
Q348577,+1957-11-04T00:00:00Z,Q5532007,"NA",Q16147127,+2001-11-26T00:00:00Z,+2007-12-03T00:00:00Z,NA,Q335697,Q7176566,NA,0
Q348577,+1957-11-04T00:00:00Z,Q5532007,"NA",Q6865857,+2003-10-07T00:00:00Z,+2007-12-03T00:00:00Z,NA,Q518856,Q1737400,NA,0
Q348577,+1957-11-04T00:00:00Z,Q5532007,"NA",Q5153709,+2013-09-18T00:00:00Z,+2013-11-15T00:00:00Z,NA,Q57338,Q43135,10,0
Q348577,+1957-11-04T00:00:00Z,Q5532007,"NA",Q6865809,+2001-01-30T00:00:00Z,+2003-10-07T00:00:00Z,NA,Q6395733,Q7176566,NA,0
Q348577,+1957-11-04T00:00:00Z,Q5532007,"NA",Q61791242,+1998-10-21T00:00:00Z,+2001-01-30T00:00:00Z,NA,Q6740586,Q5106492,NA,0
