politician,date_of_birth,place_of_birth,date_of_death,position,start_date,end_date,electoral_district,replaced_by,replaces,series_ordinal,flag
Q5047470,+1860-07-27T00:00:00Z,Q4746003,+1917-09-15T00:00:00Z,Q18912794,+1901-03-29T00:00:00Z,+1913-04-23T00:00:00Z,Q5284541,NA,NA,NA,0
Q5047470,+1860-07-27T00:00:00Z,Q4746003,+1917-09-15T00:00:00Z,Q7574256,+1909-07-28T00:00:00Z,+1910-02-19T00:00:00Z,NA,Q5080808,Q5498050,2,0
Q5047470,+1860-07-27T00:00:00Z,Q4746003,+1917-09-15T00:00:00Z,Q18912794,+1915-02-20T00:00:00Z,+1917-09-15T00:00:00Z,Q5284528,Q5339602,Q5343814,NA,0
