politician,date_of_birth,place_of_birth,date_of_death,position,start_date,end_date,electoral_district,replaced_by,replaces,series_ordinal,flag
Q6257411,+1862-04-28T00:00:00Z,Q6887880,+1926-01-30T00:00:00Z,Q18220900,+1896-04-25T00:00:00Z,+1902-05-02T00:00:00Z,Q16904151,"NA",NA,"NA",0
Q6257411,+1862-04-28T00:00:00Z,Q6887880,+1926-01-30T00:00:00Z,Q6814428,+1912-07-31T00:00:00Z,+1913-06-30T00:00:00Z,Q56649110,"NA",Q8017844,"NA",0
Q6257411,+1862-04-28T00:00:00Z,Q6887880,+1926-01-30T00:00:00Z,Q18220900,+1902-05-03T00:00:00Z,+1905-05-26T00:00:00Z,Q16902872,"NA",NA,"NA",0
