politician,date_of_birth,place_of_birth,date_of_death,position,start_date,end_date,electoral_district,replaced_by,replaces,series_ordinal,flag
Q6230006,+1843-06-06T00:00:00Z,Q5112,+1915-08-02T00:00:00Z,Q6814428,+1901-03-30T00:00:00Z,+1903-12-31T00:00:00Z,Q56649110,NA,NA,NA,0
Q6230006,+1843-06-06T00:00:00Z,Q5112,+1915-08-02T00:00:00Z,Q18220900,+1878-04-11T00:00:00Z,+1901-05-08T00:00:00Z,Q16962291,NA,Q23461740,NA,0
Q6230006,+1843-06-06T00:00:00Z,Q5112,+1915-08-02T00:00:00Z,Q27230596,+1885-06-16T00:00:00Z,+1887-06-11T00:00:00Z,NA,Q7793194,Q16030581,16,0
Q6230006,+1843-06-06T00:00:00Z,Q5112,+1915-08-02T00:00:00Z,Q27230596,+1892-10-15T00:00:00Z,+1893-06-16T00:00:00Z,NA,Q593661,Q5498050,16,0
Q6230006,+1843-06-06T00:00:00Z,Q5112,+1915-08-02T00:00:00Z,Q4818610,+1881-06-24T00:00:00Z,+1884-06-16T00:00:00Z,NA,Q593661,Q6290634,NA,0
Q6230006,+1843-06-06T00:00:00Z,Q5112,+1915-08-02T00:00:00Z,Q18662245,+1905-05-27T00:00:00Z,+1915-08-02T00:00:00Z,Q51034422,NA,NA,NA,0
Q6230006,+1843-06-06T00:00:00Z,Q5112,+1915-08-02T00:00:00Z,Q4818610,+1885-06-16T00:00:00Z,+1887-06-11T00:00:00Z,NA,Q593661,Q593661,NA,0
Q6230006,+1843-06-06T00:00:00Z,Q5112,+1915-08-02T00:00:00Z,Q24189754,+1892-10-15T00:00:00Z,+1893-05-12T00:00:00Z,NA,Q8007110,Q15493771,NA,0
Q6230006,+1843-06-06T00:00:00Z,Q5112,+1915-08-02T00:00:00Z,Q7836759,+1893-05-12T00:00:00Z,+1893-06-16T00:00:00Z,NA,Q7793194,Q16031614,NA,0
Q6230006,+1843-06-06T00:00:00Z,Q5112,+1915-08-02T00:00:00Z,Q6508561,+1884-00-00T00:00:00Z,+1885-00-00T00:00:00Z,NA,Q6177544,Q6227419,NA,0
Q6230006,+1843-06-06T00:00:00Z,Q5112,+1915-08-02T00:00:00Z,Q6508561,+1887-00-00T00:00:00Z,+1889-00-00T00:00:00Z,NA,Q15493771,Q7793194,NA,0
Q6230006,+1843-06-06T00:00:00Z,Q5112,+1915-08-02T00:00:00Z,Q6508561,+1893-00-00T00:00:00Z,+1895-00-00T00:00:00Z,NA,Q8007110,Q5498050,NA,0
Q6230006,+1843-06-06T00:00:00Z,Q5112,+1915-08-02T00:00:00Z,Q6508561,+1897-00-00T00:00:00Z,+1899-00-00T00:00:00Z,NA,Q7908685,Q8007110,NA,0
