politician,date_of_birth,place_of_birth,date_of_death,position,start_date,end_date,electoral_district,replaced_by,replaces,series_ordinal,flag
Q5488755,+1912-10-06T00:00:00Z,Q1554825,+1989-04-21T00:00:00Z,Q18912794,+1969-10-25T00:00:00Z,+1984-10-26T00:00:00Z,Q577770,NA,Q661510,"NA",0
Q5488755,+1912-10-06T00:00:00Z,Q1554825,+1989-04-21T00:00:00Z,Q19202748,+1961-03-25T00:00:00Z,+1962-02-05T00:00:00Z,Q5355603,NA,Q2161823,"NA",0
Q5488755,+1912-10-06T00:00:00Z,Q1554825,+1989-04-21T00:00:00Z,Q19202748,+1962-03-03T00:00:00Z,+1969-09-22T00:00:00Z,Q5356054,Q5141814,Q1818904,"NA",0
