politician,date_of_birth,place_of_birth,date_of_death,position,start_date,end_date,electoral_district,replaced_by,replaces,series_ordinal,flag
Q1673410,+1855-08-06T00:00:00Z,Q3141,+1948-02-11T00:00:00Z,Q4818607,+1905-07-06T00:00:00Z,+1906-10-10T00:00:00Z,NA,Q1865883,Q6290634,NA,0
Q1673410,+1855-08-06T00:00:00Z,Q3141,+1948-02-11T00:00:00Z,Q3409185,+1930-04-02T00:00:00Z,+1931-01-21T00:00:00Z,NA,Q13473328,Q4685169,3,0
Q1673410,+1855-08-06T00:00:00Z,Q3141,+1948-02-11T00:00:00Z,Q610669,+1931-01-21T00:00:00Z,+1936-01-23T00:00:00Z,NA,Q336465,Q334198,9,0
Q1673410,+1855-08-06T00:00:00Z,Q3141,+1948-02-11T00:00:00Z,Q18534408,+1892-04-20T00:00:00Z,+1893-05-00T00:00:00Z,Q5355133,NA,NA,NA,0
Q1673410,+1855-08-06T00:00:00Z,Q3141,+1948-02-11T00:00:00Z,Q18912794,+1901-05-09T00:00:00Z,+1906-10-10T00:00:00Z,Q2973417,Q6287428,NA,NA,0
Q1673410,+1855-08-06T00:00:00Z,Q3141,+1948-02-11T00:00:00Z,Q18912794,+1901-05-09T00:00:00Z,+1906-10-10T00:00:00Z,Q2973417,Q6287428,Q3310872,NA,0
