politician,date_of_birth,place_of_birth,date_of_death,position,start_date,end_date,electoral_district,replaced_by,replaces,series_ordinal,flag
Q5076581,+1877-04-16T00:00:00Z,Q27626763,+1949-06-10T00:00:00Z,Q18912794,+1928-11-17T00:00:00Z,+1931-12-19T00:00:00Z,Q784520,Q4799155,Q6235062,"NA",0
Q5076581,+1877-04-16T00:00:00Z,Q27626763,+1949-06-10T00:00:00Z,Q19007285,+1922-06-10T00:00:00Z,+1928-05-30T00:00:00Z,Q5284518,NA,NA,"NA",0
Q5076581,+1877-04-16T00:00:00Z,Q27626763,+1949-06-10T00:00:00Z,Q19007285,+1934-06-09T00:00:00Z,+1948-08-21T00:00:00Z,Q5284518,NA,NA,"NA",0
