politician,date_of_birth,place_of_birth,date_of_death,position,start_date,end_date,electoral_district,replaced_by,replaces,series_ordinal,flag
Q6132824,+1850-04-26T00:00:00Z,Q84,+1941-08-01T00:00:00Z,Q18526194,+1888-05-12T00:00:00Z,+1899-12-07T00:00:00Z,Q5355379,Q6791117,Q3161028,"NA",0
Q6132824,+1850-04-26T00:00:00Z,Q84,+1941-08-01T00:00:00Z,Q6814428,+1901-03-30T00:00:00Z,+1906-12-31T00:00:00Z,Q56649111,NA,NA,"NA",0
Q6132824,+1850-04-26T00:00:00Z,Q84,+1941-08-01T00:00:00Z,Q22667435,+1899-12-17T00:00:00Z,+1901-05-13T00:00:00Z,NA,NA,NA,"NA",0
