politician,date_of_birth,place_of_birth,date_of_death,position,start_date,end_date,electoral_district,replaced_by,replaces,series_ordinal,flag
Q466245,+1953-12-12T00:00:00Z,Q3130,"NA",Q2660943,+2007-12-03T00:00:00Z,+2013-03-22T00:00:00Z,NA,Q5525157,Q5478100,"NA",0
Q466245,+1953-12-12T00:00:00Z,Q3130,"NA",Q18912794,+1996-03-02T00:00:00Z,+2013-08-05T00:00:00Z,Q2973440,Q16213376,Q4964109,"NA",0
Q466245,+1953-12-12T00:00:00Z,Q3130,"NA",Q6865883,+2007-12-03T00:00:00Z,+2013-03-22T00:00:00Z,NA,Q5525157,Q5982149,"NA",0
