politician,date_of_birth,place_of_birth,date_of_death,position,start_date,end_date,electoral_district,replaced_by,replaces,series_ordinal,flag
Q1239052,+1925-08-21T00:00:00Z,Q3141,+2006-08-28T00:00:00Z,Q6814428,+1978-07-01T00:00:00Z,+1986-08-18T00:00:00Z,Q56649112,Q6153558,NA,"NA",0
Q1239052,+1925-08-21T00:00:00Z,Q3141,+2006-08-28T00:00:00Z,Q18912794,+1960-12-10T00:00:00Z,+1969-10-25T00:00:00Z,Q5284532,NA,Q15972597,"NA",0
Q1239052,+1925-08-21T00:00:00Z,Q3141,+2006-08-28T00:00:00Z,Q18912794,+1969-10-25T00:00:00Z,+1977-11-10T00:00:00Z,Q2973653,Q7358415,NA,"NA",0
