politician,date_of_birth,place_of_birth,date_of_death,position,start_date,end_date,electoral_district,replaced_by,replaces,series_ordinal,flag
Q7436908,+1968-05-13T00:00:00Z,Q3130,"NA",Q18912794,+2007-11-24T00:00:00Z,NA,Q368340,NA,Q4977100,NA,0
Q7436908,+1968-05-13T00:00:00Z,Q3130,"NA",Q11796950,+2013-09-18T00:00:00Z,+2014-12-23T00:00:00Z,NA,Q7173778,Q1449483,NA,0
Q7436908,+1968-05-13T00:00:00Z,Q3130,"NA",Q6865821,+2014-12-23T00:00:00Z,+2015-09-21T00:00:00Z,NA,Q5110039,Q6395733,NA,0
Q7436908,+1968-05-13T00:00:00Z,Q3130,"NA",Q2390270,+2015-09-21T00:00:00Z,+2018-08-24T00:00:00Z,NA,Q6288876,Q6210353,NA,0
Q7436908,+1968-05-13T00:00:00Z,Q3130,"NA",Q319145,+2018-08-24T00:00:00Z,NA,NA,NA,Q927550,30,0
