politician,date_of_birth,place_of_birth,date_of_death,position,start_date,end_date,electoral_district,replaced_by,replaces,series_ordinal,flag
Q5593180,+1949-09-27T00:00:00Z,Q3130,"NA",Q6865857,+1993-03-24T00:00:00Z,+1994-03-25T00:00:00Z,NA,Q434475,Q4964109,"NA",0
Q5593180,+1949-09-27T00:00:00Z,Q3130,"NA",Q6814428,+1983-03-05T00:00:00Z,+1994-03-25T00:00:00Z,Q56649105,Q6830370,NA,"NA",0
Q5593180,+1949-09-27T00:00:00Z,Q3130,"NA",Q11796986,+1994-03-01T00:00:00Z,+1994-03-25T00:00:00Z,NA,Q466003,Q15504829,"NA",0
Q5593180,+1949-09-27T00:00:00Z,Q3130,"NA",Q11122003,+1991-02-01T00:00:00Z,+1992-05-18T00:00:00Z,NA,Q7288278,Q304561,"NA",0
Q5593180,+1949-09-27T00:00:00Z,Q3130,"NA",Q6865888,+1991-12-27T00:00:00Z,+1992-05-18T00:00:00Z,NA,Q3641283,Q1700698,"NA",0
Q5593180,+1949-09-27T00:00:00Z,Q3130,"NA",Q6865874,+1990-04-04T00:00:00Z,+1991-12-27T00:00:00Z,NA,Q6984063,Q4964109,"NA",0
Q5593180,+1949-09-27T00:00:00Z,Q3130,"NA",Q6865994,+1988-01-19T00:00:00Z,+1990-04-04T00:00:00Z,NA,Q15504829,Q6223436,"NA",0
Q5593180,+1949-09-27T00:00:00Z,Q3130,"NA",Q11796986,+1987-07-24T00:00:00Z,+1988-01-19T00:00:00Z,NA,Q15504829,Q4864101,"NA",0
