politician,date_of_birth,place_of_birth,date_of_death,position,start_date,end_date,electoral_district,replaced_by,replaces,series_ordinal,flag
Q8009150,+1874-05-19T00:00:00Z,Q3035979,+1961-07-24T00:00:00Z,Q18912794,+1913-05-31T00:00:00Z,+1922-12-16T00:00:00Z,Q2973820,Q7659939,Q8013675,"NA",0
Q8009150,+1874-05-19T00:00:00Z,Q3035979,+1961-07-24T00:00:00Z,Q19202748,+1901-07-03T00:00:00Z,+1904-07-16T00:00:00Z,Q5355903,NA,Q19873422,"NA",0
Q8009150,+1874-05-19T00:00:00Z,Q3035979,+1961-07-24T00:00:00Z,Q19202748,+1904-08-06T00:00:00Z,+1910-02-28T00:00:00Z,Q5356054,Q8004617,NA,"NA",0
