politician,date_of_birth,place_of_birth,date_of_death,position,start_date,end_date,electoral_district,replaced_by,replaces,series_ordinal,flag
Q6766947,+1970-07-08T00:00:00Z,Q3114,"NA",Q18912794,+2007-11-24T00:00:00Z,+2019-04-11T00:00:00Z,Q2423795,NA,Q7356353,"NA",0
Q6766947,+1970-07-08T00:00:00Z,Q3114,"NA",Q18912794,+2019-05-18T00:00:00Z,NA,Q2973414,NA,Q7612638,"NA",0
Q6766947,+1970-07-08T00:00:00Z,Q3114,"NA",Q6865924,+2010-09-14T00:00:00Z,+2013-07-01T00:00:00Z,NA,NA,NA,"NA",0
Q6766947,+1970-07-08T00:00:00Z,Q3114,"NA",Q11796976,+2011-12-14T00:00:00Z,+2013-07-01T00:00:00Z,NA,NA,NA,"NA",0
