politician,date_of_birth,place_of_birth,date_of_death,position,start_date,end_date,electoral_district,replaced_by,replaces,series_ordinal,flag
Q4932666,+1937-10-22T00:00:00Z,Q7581218,+2016-02-09T00:00:00Z,Q18912794,+1984-12-01T00:00:00Z,+1998-08-31T00:00:00Z,Q2973490,Q6835445,Q7177090,NA,0
Q4932666,+1937-10-22T00:00:00Z,Q7581218,+2016-02-09T00:00:00Z,Q7574256,+1996-04-30T00:00:00Z,+1998-03-03T00:00:00Z,NA,Q5982908,Q7609911,22,0
Q4932666,+1937-10-22T00:00:00Z,Q7581218,+2016-02-09T00:00:00Z,Q121998,NA,NA,NA,NA,NA,NA,0
