politician,date_of_birth,place_of_birth,date_of_death,position,start_date,end_date,electoral_district,replaced_by,replaces,series_ordinal,flag
Q356261,+1908-02-23T00:00:00Z,Q1026829,+1988-03-31T00:00:00Z,Q319145,+1971-03-10T00:00:00Z,+1972-12-05T00:00:00Z,NA,Q23333,Q356411,20,0
Q356261,+1908-02-23T00:00:00Z,Q1026829,+1988-03-31T00:00:00Z,Q18912794,+1949-12-10T00:00:00Z,+1982-03-13T00:00:00Z,Q666416,Q6832447,NA,NA,0
Q356261,+1908-02-23T00:00:00Z,Q1026829,+1988-03-31T00:00:00Z,Q2660943,+1969-11-12T00:00:00Z,+1971-03-22T00:00:00Z,NA,Q1820470,Q1538010,NA,0
Q356261,+1908-02-23T00:00:00Z,Q1026829,+1988-03-31T00:00:00Z,Q2390270,+1966-11-26T00:00:00Z,+1969-10-25T00:00:00Z,NA,Q1820470,Q312722,NA,0
Q356261,+1908-02-23T00:00:00Z,Q1026829,+1988-03-31T00:00:00Z,Q3315112,+1951-07-17T00:00:00Z,+1954-07-09T00:00:00Z,NA,Q6290492,Q7184053,NA,0
Q356261,+1908-02-23T00:00:00Z,Q1026829,+1988-03-31T00:00:00Z,Q3315112,+1951-07-17T00:00:00Z,+1954-07-09T00:00:00Z,NA,Q4815639,Q7184053,NA,0
Q356261,+1908-02-23T00:00:00Z,Q1026829,+1988-03-31T00:00:00Z,Q6865821,+1954-07-09T00:00:00Z,+1956-02-28T00:00:00Z,NA,NA,NA,NA,0
Q356261,+1908-02-23T00:00:00Z,Q1026829,+1988-03-31T00:00:00Z,Q28841847,+1966-06-11T00:00:00Z,NA,NA,NA,NA,NA,0
