politician,date_of_birth,place_of_birth,date_of_death,position,start_date,end_date,electoral_district,replaced_by,replaces,series_ordinal,flag
Q5931459,+1900-04-17T00:00:00Z,Q5468,+1974-09-02T00:00:00Z,Q20165902,+1943-11-20T00:00:00Z,+1949-10-30T00:00:00Z,Q5355720,NA,NA,"NA",0
Q5931459,+1900-04-17T00:00:00Z,Q5468,+1974-09-02T00:00:00Z,Q18912794,+1949-12-10T00:00:00Z,+1958-11-22T00:00:00Z,Q2973779,Q16013853,NA,"NA",0
Q5931459,+1900-04-17T00:00:00Z,Q5468,+1974-09-02T00:00:00Z,Q18912794,+1961-12-09T00:00:00Z,+1963-11-01T00:00:00Z,Q2973779,Q5294799,Q16013853,"NA",0
