politician,date_of_birth,place_of_birth,date_of_death,position,start_date,end_date,electoral_district,replaced_by,replaces,series_ordinal,flag
Q524500,+1944-09-03T00:00:00Z,Q5367746,"NA",Q13527933,+1992-02-17T00:00:00Z,+1996-03-18T00:00:00Z,NA,Q2442810,Q6830287,39,0
Q524500,+1944-09-03T00:00:00Z,Q5367746,"NA",Q19007285,+1986-02-08T00:00:00Z,+2001-08-09T00:00:00Z,Q5284518,NA,NA,NA,0
Q524500,+1944-09-03T00:00:00Z,Q5367746,"NA",Q18912794,+1975-12-13T00:00:00Z,+1984-10-26T00:00:00Z,Q924832,Q5107462,Q7363676,NA,0
