politician,date_of_birth,place_of_birth,date_of_death,position,start_date,end_date,electoral_district,replaced_by,replaces,series_ordinal,flag
Q6139208,+1844-01-31T00:00:00Z,Q279000,+1929-02-20T00:00:00Z,Q6814428,+1907-01-01T00:00:00Z,+1914-09-05T00:00:00Z,Q56649112,NA,NA,"NA",0
Q6139208,+1844-01-31T00:00:00Z,Q279000,+1929-02-20T00:00:00Z,Q18912794,+1901-03-29T00:00:00Z,+1906-11-05T00:00:00Z,Q5284522,Q4710953,NA,"NA",0
Q6139208,+1844-01-31T00:00:00Z,Q279000,+1929-02-20T00:00:00Z,Q18534408,+1886-03-00T00:00:00Z,+1889-03-00T00:00:00Z,Q16894550,NA,NA,"NA",0
