politician,date_of_birth,place_of_birth,date_of_death,position,start_date,end_date,electoral_district,replaced_by,replaces,series_ordinal,flag
Q528907,+1953-04-16T00:00:00Z,Q3130,"NA",Q11796967,+2010-09-14T00:00:00Z,+2013-06-26T00:00:00Z,NA,Q4910865,Q1400580,"NA",1
Q528907,+1953-04-16T00:00:00Z,Q3130,"NA",Q11796986,+2007-12-03T00:00:00Z,+2010-09-14T00:00:00Z,NA,Q1449483,Q927550,"NA",1
Q528907,+1953-04-16T00:00:00Z,Q3130,"NA",Q18912794,+2004-10-09T00:00:00Z,+2013-08-05T00:00:00Z,Q2973695,Q6789423,Q15525018,"NA",1
