politician,date_of_birth,place_of_birth,date_of_death,position,start_date,end_date,electoral_district,replaced_by,replaces,series_ordinal,flag
Q8020091,+1871-11-23T00:00:00Z,Q808105,+1946-09-13T00:00:00Z,Q18534408,+1897-10-14T00:00:00Z,+1900-11-01T00:00:00Z,Q14935119,Q5543535,Q5543535,NA,0
Q8020091,+1871-11-23T00:00:00Z,Q808105,+1946-09-13T00:00:00Z,Q18912794,+1914-09-05T00:00:00Z,+1929-07-05T00:00:00Z,Q5284492,Q7795045,Q4691271,NA,0
Q8020091,+1871-11-23T00:00:00Z,Q808105,+1946-09-13T00:00:00Z,Q13527909,+1912-05-18T00:00:00Z,+1913-12-09T00:00:00Z,NA,Q5538977,Q6249933,24,0
Q8020091,+1871-11-23T00:00:00Z,Q808105,+1946-09-13T00:00:00Z,Q13527909,+1913-12-22T00:00:00Z,+1914-06-18T00:00:00Z,NA,Q2642824,Q5538977,NA,0
Q8020091,+1871-11-23T00:00:00Z,Q808105,+1946-09-13T00:00:00Z,Q7574256,+1923-02-28T00:00:00Z,+1926-01-12T00:00:00Z,NA,Q1865883,Q5365498,5,0
Q8020091,+1871-11-23T00:00:00Z,Q808105,+1946-09-13T00:00:00Z,Q28841847,NA,NA,NA,NA,NA,NA,0
