politician,date_of_birth,place_of_birth,date_of_death,position,start_date,end_date,electoral_district,replaced_by,replaces,series_ordinal,flag
Q466003,+1954-04-12T00:00:00Z,Q956807,"NA",Q3315112,+2009-06-09T00:00:00Z,+2010-09-13T00:00:00Z,NA,Q1376420,Q3180236,"NA",0
Q466003,+1954-04-12T00:00:00Z,Q956807,"NA",Q11122003,+2007-12-03T00:00:00Z,+2010-09-13T00:00:00Z,NA,Q5981237,Q3339775,"NA",0
Q466003,+1954-04-12T00:00:00Z,Q956807,"NA",Q6814428,+1989-04-04T00:00:00Z,+2015-02-06T00:00:00Z,Q56649105,Q16732210,Q4798812,"NA",0
Q466003,+1954-04-12T00:00:00Z,Q956807,"NA",Q52490871,+1998-02-02T00:00:00Z,+1998-02-13T00:00:00Z,NA,NA,NA,"NA",0
Q466003,+1954-04-12T00:00:00Z,Q956807,"NA",Q7574624,+2007-12-03T00:00:00Z,+2009-06-09T00:00:00Z,NA,Q6211016,Q5525646,"NA",0
Q466003,+1954-04-12T00:00:00Z,Q956807,"NA",Q11796986,+1994-03-25T00:00:00Z,+1996-03-11T00:00:00Z,NA,Q773848,Q5593180,"NA",0
Q466003,+1954-04-12T00:00:00Z,Q956807,"NA",Q11796981,+1994-03-25T00:00:00Z,+1996-03-11T00:00:00Z,NA,Q773848,Q5593180,"NA",0
Q466003,+1954-04-12T00:00:00Z,Q956807,"NA",Q6865985,+1993-03-24T00:00:00Z,+1994-03-25T00:00:00Z,NA,Q5158005,Q4885879,"NA",0
