politician,date_of_birth,place_of_birth,date_of_death,position,start_date,end_date,electoral_district,replaced_by,replaces,series_ordinal,flag
Q304561,+1948-12-14T00:00:00Z,Q3183,"NA",Q2460433,+2005-01-28T00:00:00Z,+2006-12-04T00:00:00Z,NA,Q43135,Q982227,NA,0
Q304561,+1948-12-14T00:00:00Z,Q3183,"NA",Q18912794,+1996-03-02T00:00:00Z,+2007-11-03T00:00:00Z,Q897736,Q5525157,Q7982649,NA,0
Q304561,+1948-12-14T00:00:00Z,Q3183,"NA",Q5261065,+1995-06-20T00:00:00Z,+1996-03-11T00:00:00Z,NA,Q7803494,Q4964109,9,0
Q304561,+1948-12-14T00:00:00Z,Q3183,"NA",Q6865833,+1993-12-23T00:00:00Z,+1996-03-11T00:00:00Z,NA,Q1700035,Q7288278,NA,0
Q304561,+1948-12-14T00:00:00Z,Q3183,"NA",Q23892240,+2010-02-17T00:00:00Z,+2016-01-22T00:00:00Z,NA,Q6210353,Q5258898,NA,0
Q304561,+1948-12-14T00:00:00Z,Q3183,"NA",Q6865809,+1991-12-27T00:00:00Z,+1993-12-23T00:00:00Z,NA,Q1400580,Q1466753,NA,0
Q304561,+1948-12-14T00:00:00Z,Q3183,"NA",Q6865888,+1990-04-04T00:00:00Z,+1991-12-09T00:00:00Z,NA,Q1700698,Q7288278,NA,0
Q304561,+1948-12-14T00:00:00Z,Q3183,"NA",Q16147127,+1988-02-15T00:00:00Z,+1996-03-11T00:00:00Z,NA,Q7176566,Q15500212,NA,0
Q304561,+1948-12-14T00:00:00Z,Q3183,"NA",Q3315112,+1984-12-13T00:00:00Z,+1990-04-04T00:00:00Z,NA,Q7349176,Q5585795,NA,0
Q304561,+1948-12-14T00:00:00Z,Q3183,"NA",Q1372518,+2018-05-01T00:00:00Z,NA,NA,NA,Q17402900,33,0
Q304561,+1948-12-14T00:00:00Z,Q3183,"NA",Q52490871,+1998-02-02T00:00:00Z,+1998-02-13T00:00:00Z,NA,NA,NA,NA,0
