politician,date_of_birth,place_of_birth,date_of_death,position,start_date,end_date,electoral_district,replaced_by,replaces,series_ordinal,flag
Q6287588,+1843-07-27T00:00:00Z,Q5766124,+1913-07-20T00:00:00Z,Q18662245,+1900-05-19T00:00:00Z,+1906-10-11T00:00:00Z,Q51028908,NA,NA,"NA",0
Q6287588,+1843-07-27T00:00:00Z,Q5766124,+1913-07-20T00:00:00Z,Q6814428,+1907-01-01T00:00:00Z,+1907-05-31T00:00:00Z,Q56649110,Q6140506,NA,"NA",0
Q6287588,+1843-07-27T00:00:00Z,Q5766124,+1913-07-20T00:00:00Z,Q6814428,+1908-02-15T00:00:00Z,+1913-06-30T00:00:00Z,Q56649110,NA,Q6140506,"NA",0
Q6287588,+1843-07-27T00:00:00Z,Q5766124,+1913-07-20T00:00:00Z,Q23073852,+1904-07-04T00:00:00Z,+1905-03-01T00:00:00Z,NA,NA,NA,"NA",0
Q6287588,+1843-07-27T00:00:00Z,Q5766124,+1913-07-20T00:00:00Z,Q24189754,+1905-03-01T00:00:00Z,+1905-07-26T00:00:00Z,NA,NA,NA,"NA",0
Q6287588,+1843-07-27T00:00:00Z,Q5766124,+1913-07-20T00:00:00Z,Q56259031,NA,NA,NA,NA,NA,"NA",0
Q6287588,+1843-07-27T00:00:00Z,Q5766124,+1913-07-20T00:00:00Z,Q61757518,NA,NA,NA,NA,NA,"NA",0
Q6287588,+1843-07-27T00:00:00Z,Q5766124,+1913-07-20T00:00:00Z,Q56812961,NA,NA,NA,NA,NA,"NA",0
Q6287588,+1843-07-27T00:00:00Z,Q5766124,+1913-07-20T00:00:00Z,Q61741803,NA,NA,NA,NA,NA,"NA",0
Q6287588,+1843-07-27T00:00:00Z,Q5766124,+1913-07-20T00:00:00Z,Q61757531,NA,NA,NA,NA,NA,"NA",0
