politician,date_of_birth,place_of_birth,date_of_death,position,start_date,end_date,electoral_district,replaced_by,replaces,series_ordinal,flag
Q6775111,+1936-08-24T00:00:00Z,Q2083195,"NA",Q6814428,+1969-05-23T00:00:00Z,+1969-10-24T00:00:00Z,Q56649110,NA,Q6384628,"NA",0
Q6775111,+1936-08-24T00:00:00Z,Q2083195,"NA",Q18662245,+1971-07-03T00:00:00Z,+1975-07-11T00:00:00Z,Q51034422,NA,Q19666616,"NA",0
Q6775111,+1936-08-24T00:00:00Z,Q2083195,"NA",Q18662245,+1975-07-12T00:00:00Z,+1990-08-31T00:00:00Z,NA,Q4894304,NA,"NA",0
