politician,date_of_birth,place_of_birth,date_of_death,position,start_date,end_date,electoral_district,replaced_by,replaces,series_ordinal,flag
Q5982908,+1929-06-10T00:00:00Z,Q3130,"NA",Q7574256,+1998-03-04T00:00:00Z,+1998-11-10T00:00:00Z,NA,Q6988239,Q4932666,23,0
Q5982908,+1929-06-10T00:00:00Z,Q3130,"NA",Q18912794,+1963-11-30T00:00:00Z,+1998-08-31T00:00:00Z,Q2973794,Q7627118,Q5233082,NA,0
Q5982908,+1929-06-10T00:00:00Z,Q3130,"NA",Q3315112,+1982-05-07T00:00:00Z,+1983-03-11T00:00:00Z,NA,Q5585795,Q6137315,42,0
Q5982908,+1929-06-10T00:00:00Z,Q3130,"NA",Q11796917,+1980-11-03T00:00:00Z,+1982-05-07T00:00:00Z,NA,Q6988322,Q7823476,NA,0
Q5982908,+1929-06-10T00:00:00Z,Q3130,"NA",Q6865979,+1980-08-19T00:00:00Z,+1980-11-03T00:00:00Z,NA,NA,Q5301968,NA,0
Q5982908,+1929-06-10T00:00:00Z,Q3130,"NA",Q6865868,+1975-11-11T00:00:00Z,+1975-12-22T00:00:00Z,NA,Q5415311,Q242654,NA,0
Q5982908,+1929-06-10T00:00:00Z,Q3130,"NA",Q6865745,+1975-11-11T00:00:00Z,+1979-09-27T00:00:00Z,NA,Q7176113,Q7319274,NA,0
Q5982908,+1929-06-10T00:00:00Z,Q3130,"NA",Q6746719,+1974-06-14T00:00:00Z,+1975-11-11T00:00:00Z,NA,Q5585795,NA,NA,0
Q5982908,+1929-06-10T00:00:00Z,Q3130,"NA",Q6865888,+1968-02-28T00:00:00Z,+1971-02-05T00:00:00Z,NA,Q7176113,Q1538010,NA,0
Q5982908,+1929-06-10T00:00:00Z,Q3130,"NA",Q6865874,+1965-02-22T00:00:00Z,+1968-02-28T00:00:00Z,NA,Q6236225,Q7308886,NA,0
Q5982908,+1929-06-10T00:00:00Z,Q3130,"NA",Q28841847,NA,NA,NA,NA,NA,NA,0
