politician,date_of_birth,place_of_birth,date_of_death,position,start_date,end_date,electoral_district,replaced_by,replaces,series_ordinal,flag
Q6385236,+1900-09-03T00:00:00Z,Q5112,+1987-09-28T00:00:00Z,Q6814428,+1938-07-01T00:00:00Z,+1944-06-30T00:00:00Z,Q56649110,NA,NA,"NA",0
Q6385236,+1900-09-03T00:00:00Z,Q5112,+1987-09-28T00:00:00Z,Q18912794,+1949-12-10T00:00:00Z,+1954-05-29T00:00:00Z,Q2973854,Q7052568,NA,"NA",0
Q6385236,+1900-09-03T00:00:00Z,Q5112,+1987-09-28T00:00:00Z,Q18912794,+1955-12-10T00:00:00Z,+1966-10-31T00:00:00Z,Q2973854,Q5983284,Q7052568,"NA",0
