politician,date_of_birth,place_of_birth,date_of_death,position,start_date,end_date,electoral_district,replaced_by,replaces,series_ordinal,flag
Q6524050,+1945-10-04T00:00:00Z,Q3130,"NA",Q7574256,+1989-08-29T00:00:00Z,+1993-02-08T00:00:00Z,NA,Q7609911,Q6204942,20,0
Q6524050,+1945-10-04T00:00:00Z,Q3130,"NA",Q18912794,+1979-06-23T00:00:00Z,+1993-03-13T00:00:00Z,Q1079489,Q6172296,Q5489783,NA,0
Q6524050,+1945-10-04T00:00:00Z,Q3130,"NA",Q18912794,+1993-03-13T00:00:00Z,+2004-08-31T00:00:00Z,Q2973888,Q1449483,NA,NA,0
