politician,date_of_birth,place_of_birth,date_of_death,position,start_date,end_date,electoral_district,replaced_by,replaces,series_ordinal,flag
Q370966,+1879-09-15T00:00:00Z,Q187313,+1939-04-07T00:00:00Z,Q319145,+1932-01-06T00:00:00Z,+1939-04-07T00:00:00Z,NA,Q370926,Q23362,10,1
Q370966,+1879-09-15T00:00:00Z,Q187313,+1939-04-07T00:00:00Z,Q18912794,+1929-10-12T00:00:00Z,+1939-04-07T00:00:00Z,Q2973900,Q6483646,Q15995654,NA,1
Q370966,+1879-09-15T00:00:00Z,Q187313,+1939-04-07T00:00:00Z,Q19007285,+1909-04-30T00:00:00Z,+1929-09-13T00:00:00Z,Q28163858,NA,NA,NA,1
Q370966,+1879-09-15T00:00:00Z,Q187313,+1939-04-07T00:00:00Z,Q3315112,+1937-11-20T00:00:00Z,+1937-11-29T00:00:00Z,NA,Q5662549,Q4785718,NA,1
Q370966,+1879-09-15T00:00:00Z,Q187313,+1939-04-07T00:00:00Z,Q6865985,+1935-11-08T00:00:00Z,+1936-02-06T00:00:00Z,NA,Q152666,Q152666,NA,1
Q370966,+1879-09-15T00:00:00Z,Q187313,+1939-04-07T00:00:00Z,Q11122003,+1935-11-06T00:00:00Z,+1937-11-29T00:00:00Z,NA,Q152666,Q152666,NA,1
Q370966,+1879-09-15T00:00:00Z,Q187313,+1939-04-07T00:00:00Z,Q6865857,+1935-11-06T00:00:00Z,+1937-11-29T00:00:00Z,NA,Q152666,Q152666,NA,1
Q370966,+1879-09-15T00:00:00Z,Q187313,+1939-04-07T00:00:00Z,Q2390270,+1932-01-06T00:00:00Z,+1935-10-02T00:00:00Z,NA,Q335310,Q7693792,NA,1
Q370966,+1879-09-15T00:00:00Z,Q187313,+1939-04-07T00:00:00Z,Q6865745,+1932-01-06T00:00:00Z,+1935-10-02T00:00:00Z,NA,Q1452902,Q5078842,NA,1
Q370966,+1879-09-15T00:00:00Z,Q187313,+1939-04-07T00:00:00Z,Q11796917,+1929-10-22T00:00:00Z,+1931-02-04T00:00:00Z,NA,Q4710351,Q8009854,NA,1
Q370966,+1879-09-15T00:00:00Z,Q187313,+1939-04-07T00:00:00Z,Q6865888,+1929-10-22T00:00:00Z,+1931-02-04T00:00:00Z,NA,Q4710351,Q8009854,NA,1
Q370966,+1879-09-15T00:00:00Z,Q187313,+1939-04-07T00:00:00Z,Q13527933,+1925-10-25T00:00:00Z,+1928-06-15T00:00:00Z,NA,Q15501497,Q7965429,26,1
Q370966,+1879-09-15T00:00:00Z,Q187313,+1939-04-07T00:00:00Z,Q6508566,+1928-06-15T00:00:00Z,+1929-09-01T00:00:00Z,NA,Q1410018,Q15501497,NA,1
