politician,date_of_birth,place_of_birth,date_of_death,position,start_date,end_date,electoral_district,replaced_by,replaces,series_ordinal,flag
Q541217,+1947-09-28T00:00:00Z,Q2975767,"NA",Q13527950,+1995-04-04T00:00:00Z,+2005-08-03T00:00:00Z,NA,Q1191545,Q1700035,39,0
Q541217,+1947-09-28T00:00:00Z,Q2975767,"NA",Q2660943,+2012-03-13T00:00:00Z,+2013-09-18T00:00:00Z,NA,Q434858,Q43135,NA,0
Q541217,+1947-09-28T00:00:00Z,Q2975767,"NA",Q6814428,+2012-03-06T00:00:00Z,+2013-10-24T00:00:00Z,Q56649105,Q5248341,Q6766585,NA,0
Q541217,+1947-09-28T00:00:00Z,Q2975767,"NA",Q19202748,+1983-10-22T00:00:00Z,+2005-08-03T00:00:00Z,Q5355636,Q6829683,Q4909259,NA,0
Q541217,+1947-09-28T00:00:00Z,Q2975767,"NA",Q52490871,+1998-02-02T00:00:00Z,+1998-02-13T00:00:00Z,Q3224,NA,NA,NA,0
