politician,date_of_birth,place_of_birth,date_of_death,position,start_date,end_date,electoral_district,replaced_by,replaces,series_ordinal,flag
Q1700035,+1945-01-10T00:00:00Z,Q23661,"NA",Q13527950,+1992-06-24T00:00:00Z,+1995-04-04T00:00:00Z,NA,Q541217,Q3339751,38,0
Q1700035,+1945-01-10T00:00:00Z,Q23661,"NA",Q18912794,+1996-03-02T00:00:00Z,+2001-11-10T00:00:00Z,Q2973728,Q7143427,Q5106827,NA,0
Q1700035,+1945-01-10T00:00:00Z,Q23661,"NA",Q19202748,+1984-03-24T00:00:00Z,+1996-02-01T00:00:00Z,Q5355963,Q7171603,NA,NA,0
