politician,date_of_birth,place_of_birth,date_of_death,position,start_date,end_date,electoral_district,replaced_by,replaces,series_ordinal,flag
Q5235929,+1940-03-20T00:00:00Z,Q2169513,"NA",Q18534408,+1982-04-03T00:00:00Z,+1985-03-01T00:00:00Z,Q5355116,NA,Q5226208,"NA",0
Q5235929,+1940-03-20T00:00:00Z,Q2169513,"NA",Q18912794,+1969-06-07T00:00:00Z,+1972-12-02T00:00:00Z,Q2973455,Q15967299,Q7046845,"NA",0
Q5235929,+1940-03-20T00:00:00Z,Q2169513,"NA",Q18534408,+1985-03-02T00:00:00Z,+1992-10-02T00:00:00Z,Q17001314,Q6795323,NA,"NA",0
