politician,date_of_birth,place_of_birth,date_of_death,position,start_date,end_date,electoral_district,replaced_by,replaces,series_ordinal,flag
Q1376420,+1955-12-12T00:00:00Z,Q995005,"NA",Q3315112,+2010-09-13T00:00:00Z,+2013-09-18T00:00:00Z,NA,Q5235713,Q466003,"NA",0
Q1376420,+1955-12-12T00:00:00Z,Q995005,"NA",Q6865979,+2010-06-28T00:00:00Z,+2010-09-13T00:00:00Z,NA,Q5180933,Q1400580,"NA",0
Q1376420,+1955-12-12T00:00:00Z,Q995005,"NA",Q2660943,+2007-12-03T00:00:00Z,+2010-09-13T00:00:00Z,NA,Q43135,Q1239291,"NA",0
Q1376420,+1955-12-12T00:00:00Z,Q995005,"NA",Q18912794,+1993-03-13T00:00:00Z,+2013-09-07T00:00:00Z,Q2973806,Q4708273,Q7322458,"NA",0
