politician,date_of_birth,place_of_birth,date_of_death,position,start_date,end_date,electoral_district,replaced_by,replaces,series_ordinal,flag
Q593661,+1850-10-22T00:00:00Z,Q5112,+1908-05-11T00:00:00Z,Q18912794,+1901-03-30T00:00:00Z,+1903-12-16T00:00:00Z,Q5284566,NA,NA,NA,0
Q593661,+1850-10-22T00:00:00Z,Q5112,+1908-05-11T00:00:00Z,Q27230596,+1893-06-16T00:00:00Z,+1899-12-01T00:00:00Z,NA,Q7908685,Q6230006,20,0
Q593661,+1850-10-22T00:00:00Z,Q5112,+1908-05-11T00:00:00Z,Q28841847,NA,+1908-05-11T00:00:00Z,NA,NA,NA,NA,0
Q593661,+1850-10-22T00:00:00Z,Q5112,+1908-05-11T00:00:00Z,Q18220900,+1881-04-08T00:00:00Z,+1900-02-07T00:00:00Z,Q16903098,Q19840044,Q16059813,NA,0
Q593661,+1850-10-22T00:00:00Z,Q5112,+1908-05-11T00:00:00Z,Q18912794,+1903-12-16T00:00:00Z,+1908-05-11T00:00:00Z,Q2973361,Q5393754,NA,NA,0
Q593661,+1850-10-22T00:00:00Z,Q5112,+1908-05-11T00:00:00Z,Q18662245,+1900-09-22T00:00:00Z,+1900-12-31T00:00:00Z,Q51028908,NA,NA,NA,0
Q593661,+1850-10-22T00:00:00Z,Q5112,+1908-05-11T00:00:00Z,Q4818610,+1884-06-16T00:00:00Z,+1885-06-16T00:00:00Z,NA,NA,NA,NA,0
Q593661,+1850-10-22T00:00:00Z,Q5112,+1908-05-11T00:00:00Z,Q4818610,+1887-06-11T00:00:00Z,+1889-06-27T00:00:00Z,NA,NA,NA,NA,0
Q593661,+1850-10-22T00:00:00Z,Q5112,+1908-05-11T00:00:00Z,Q4818610,+1893-06-16T00:00:00Z,+1899-12-01T00:00:00Z,NA,NA,NA,NA,0
Q593661,+1850-10-22T00:00:00Z,Q5112,+1908-05-11T00:00:00Z,Q24189754,+1892-01-06T00:00:00Z,+1892-06-21T00:00:00Z,NA,NA,NA,NA,0
