politician,date_of_birth,place_of_birth,date_of_death,position,start_date,end_date,electoral_district,replaced_by,replaces,series_ordinal,flag
Q7793194,+1837-11-26T00:00:00Z,Q124204,+1915-04-19T00:00:00Z,Q6814428,+1901-03-30T00:00:00Z,+1906-12-31T00:00:00Z,Q56649110,NA,NA,NA,0
Q7793194,+1837-11-26T00:00:00Z,Q124204,+1915-04-19T00:00:00Z,Q27230596,+1887-06-11T00:00:00Z,+1889-06-27T00:00:00Z,NA,Q15493771,Q6230006,17,0
Q7793194,+1837-11-26T00:00:00Z,Q124204,+1915-04-19T00:00:00Z,Q27230596,+1890-08-19T00:00:00Z,+1892-06-21T00:00:00Z,NA,Q5498050,Q15493771,NA,0
Q7793194,+1837-11-26T00:00:00Z,Q124204,+1915-04-19T00:00:00Z,Q18220900,+1868-04-21T00:00:00Z,+1871-12-13T00:00:00Z,Q16896189,NA,NA,NA,0
Q7793194,+1837-11-26T00:00:00Z,Q124204,+1915-04-19T00:00:00Z,Q50840848,+1894-00-00T00:00:00Z,+1898-00-00T00:00:00Z,NA,NA,NA,NA,0
Q7793194,+1837-11-26T00:00:00Z,Q124204,+1915-04-19T00:00:00Z,Q18220900,+1875-02-10T00:00:00Z,+1887-04-05T00:00:00Z,Q17003489,NA,NA,NA,0
Q7793194,+1837-11-26T00:00:00Z,Q124204,+1915-04-19T00:00:00Z,Q18220900,+1887-04-06T00:00:00Z,+1890-04-18T00:00:00Z,Q17053403,NA,NA,NA,0
Q7793194,+1837-11-26T00:00:00Z,Q124204,+1915-04-19T00:00:00Z,Q18220900,+1890-04-19T00:00:00Z,+1894-04-17T00:00:00Z,Q17003489,NA,NA,NA,0
Q7793194,+1837-11-26T00:00:00Z,Q124204,+1915-04-19T00:00:00Z,Q18220900,+1899-04-29T00:00:00Z,+1901-05-08T00:00:00Z,Q16891933,NA,NA,NA,0
Q7793194,+1837-11-26T00:00:00Z,Q124204,+1915-04-19T00:00:00Z,Q50805908,+1876-02-02T00:00:00Z,+1876-06-06T00:00:00Z,NA,NA,NA,NA,0
Q7793194,+1837-11-26T00:00:00Z,Q124204,+1915-04-19T00:00:00Z,Q50805908,+1877-10-26T00:00:00Z,+1881-06-24T00:00:00Z,NA,NA,NA,NA,0
Q7793194,+1837-11-26T00:00:00Z,Q124204,+1915-04-19T00:00:00Z,Q50805908,+1885-02-04T00:00:00Z,+1885-06-16T00:00:00Z,NA,NA,NA,NA,0
Q7793194,+1837-11-26T00:00:00Z,Q124204,+1915-04-19T00:00:00Z,Q50805908,+1893-06-16T00:00:00Z,+1892-06-21T00:00:00Z,NA,NA,NA,NA,0
Q7793194,+1837-11-26T00:00:00Z,Q124204,+1915-04-19T00:00:00Z,Q23073852,+1884-06-16T00:00:00Z,+1885-02-04T00:00:00Z,NA,NA,NA,NA,0
Q7793194,+1837-11-26T00:00:00Z,Q124204,+1915-04-19T00:00:00Z,Q7836759,+1887-06-11T00:00:00Z,+1889-06-27T00:00:00Z,NA,NA,NA,NA,0
Q7793194,+1837-11-26T00:00:00Z,Q124204,+1915-04-19T00:00:00Z,Q7836759,+1890-08-19T00:00:00Z,+1892-01-06T00:00:00Z,NA,NA,NA,NA,0
Q7793194,+1837-11-26T00:00:00Z,Q124204,+1915-04-19T00:00:00Z,Q7836759,+1893-06-16T00:00:00Z,+1894-04-17T00:00:00Z,NA,NA,NA,NA,0
