politician,date_of_birth,place_of_birth,date_of_death,position,start_date,end_date,electoral_district,replaced_by,replaces,series_ordinal,flag
Q23342,+1849-01-18T00:00:00Z,Q2296779,+1920-01-07T00:00:00Z,Q319145,+1901-01-01T00:00:00Z,+1903-09-24T00:00:00Z,NA,Q313805,NA,1,0
Q23342,+1849-01-18T00:00:00Z,Q2296779,+1920-01-07T00:00:00Z,Q2660943,+1901-01-01T00:00:00Z,+1903-09-24T00:00:00Z,NA,Q313805,NA,NA,0
Q23342,+1849-01-18T00:00:00Z,Q2296779,+1920-01-07T00:00:00Z,Q18810377,+1887-03-08T00:00:00Z,+1891-06-12T00:00:00Z,NA,NA,NA,NA,0
Q23342,+1849-01-18T00:00:00Z,Q2296779,+1920-01-07T00:00:00Z,Q19202748,+1898-11-23T00:00:00Z,+1900-03-01T00:00:00Z,Q5355498,Q5480530,Q5480530,NA,0
Q23342,+1849-01-18T00:00:00Z,Q2296779,+1920-01-07T00:00:00Z,Q7574300,+1883-01-03T00:00:00Z,+1887-01-31T00:00:00Z,NA,Q6135935,Q5546254,NA,0
Q23342,+1849-01-18T00:00:00Z,Q2296779,+1920-01-07T00:00:00Z,Q18912794,+1901-03-30T00:00:00Z,+1903-09-30T00:00:00Z,Q1074124,Q5487958,NA,NA,0
Q23342,+1849-01-18T00:00:00Z,Q2296779,+1920-01-07T00:00:00Z,Q28841847,+1901-00-00T00:00:00Z,NA,NA,NA,NA,NA,0
Q23342,+1849-01-18T00:00:00Z,Q2296779,+1920-01-07T00:00:00Z,Q18810377,+1897-05-12T00:00:00Z,+1898-07-18T00:00:00Z,NA,NA,NA,NA,0
Q23342,+1849-01-18T00:00:00Z,Q2296779,+1920-01-07T00:00:00Z,Q19202748,+1879-08-26T00:00:00Z,+1880-11-09T00:00:00Z,Q5356052,NA,Q7926460,NA,0
Q23342,+1849-01-18T00:00:00Z,Q2296779,+1920-01-07T00:00:00Z,Q19202748,+1880-11-22T00:00:00Z,+1882-11-23T00:00:00Z,Q5356091,Q20810879,Q21068881,NA,0
Q23342,+1849-01-18T00:00:00Z,Q2296779,+1920-01-07T00:00:00Z,Q19202748,+1882-11-30T00:00:00Z,+1894-06-25T00:00:00Z,Q5355359,NA,NA,NA,0
Q23342,+1849-01-18T00:00:00Z,Q2296779,+1920-01-07T00:00:00Z,Q42403763,+1903-10-05T00:00:00Z,+1920-01-07T00:00:00Z,NA,Q5686389,NA,NA,0
