politician,date_of_birth,place_of_birth,date_of_death,position,start_date,end_date,electoral_district,replaced_by,replaces,series_ordinal,flag
Q6988239,+1944-06-07T00:00:00Z,Q7960016,"NA",Q7574256,+1998-11-10T00:00:00Z,+2004-11-16T00:00:00Z,NA,Q2646347,Q5982908,24,0
Q6988239,+1944-06-07T00:00:00Z,Q7960016,"NA",Q18912794,+1983-03-05T00:00:00Z,+2004-11-16T00:00:00Z,Q1073964,Q5233587,Q5534632,NA,0
Q6988239,+1944-06-07T00:00:00Z,Q7960016,"NA",Q52490871,+1998-02-02T00:00:00Z,+1998-02-13T00:00:00Z,NA,NA,NA,NA,0
