politician,date_of_birth,place_of_birth,date_of_death,position,start_date,end_date,electoral_district,replaced_by,replaces,series_ordinal,flag
Q6154225,+1939-01-03T00:00:00Z,Q5596852,"NA",Q18912794,+1990-03-24T00:00:00Z,+2004-10-31T00:00:00Z,Q5284560,Q1077015,Q5273099,"NA",0
Q6154225,+1939-01-03T00:00:00Z,Q5596852,"NA",Q19202748,+1981-09-19T00:00:00Z,+1988-02-22T00:00:00Z,Q5355391,Q5534183,Q5386109,"NA",0
Q6154225,+1939-01-03T00:00:00Z,Q5596852,"NA",Q19202748,+1988-03-19T00:00:00Z,+1990-02-16T00:00:00Z,Q5355942,Q5040795,NA,"NA",0
