politician,date_of_birth,place_of_birth,date_of_death,position,start_date,end_date,electoral_district,replaced_by,replaces,series_ordinal,flag
Q4861362,+1967-04-17T00:00:00Z,Q1434796,"NA",Q6814428,+2005-07-01T00:00:00Z,+2013-08-08T00:00:00Z,Q56649111,Q16189433,NA,NA,0
Q4861362,+1967-04-17T00:00:00Z,Q1434796,"NA",Q18912794,+2013-09-07T00:00:00Z,+2017-10-27T00:00:00Z,Q2973794,NA,Q7823688,NA,0
Q4861362,+1967-04-17T00:00:00Z,Q1434796,"NA",Q5261065,+2016-02-18T00:00:00Z,+2017-10-27T00:00:00Z,NA,NA,Q591604,17,0
Q4861362,+1967-04-17T00:00:00Z,Q1434796,"NA",Q18912794,+2017-12-02T00:00:00Z,NA,Q2973794,NA,NA,NA,0
Q4861362,+1967-04-17T00:00:00Z,Q1434796,"NA",Q5261065,+2017-12-06T00:00:00Z,+2018-02-26T00:00:00Z,NA,Q6832641,NA,NA,0
