politician,date_of_birth,place_of_birth,date_of_death,position,start_date,end_date,electoral_district,replaced_by,replaces,series_ordinal,flag
Q16031651,+1857-02-18T00:00:00Z,Q7851242,+1922-05-02T00:00:00Z,Q6814428,+1920-07-01T00:00:00Z,+1922-05-02T00:00:00Z,Q56649111,Q6246053,NA,"NA",0
Q16031651,+1857-02-18T00:00:00Z,Q7851242,+1922-05-02T00:00:00Z,Q18526194,+1907-05-18T00:00:00Z,+1909-10-02T00:00:00Z,Q5355638,Q24004614,Q24845792,"NA",0
Q16031651,+1857-02-18T00:00:00Z,Q7851242,+1922-05-02T00:00:00Z,Q18526194,+1911-02-25T00:00:00Z,+1917-03-21T00:00:00Z,Q5355906,Q459146,Q8013991,"NA",0
