politician,date_of_birth,place_of_birth,date_of_death,position,start_date,end_date,electoral_district,replaced_by,replaces,series_ordinal,flag
Q7789411,+1856-10-09T00:00:00Z,Q7199097,+1920-09-15T00:00:00Z,Q18912794,+1901-03-29T00:00:00Z,+1910-02-19T00:00:00Z,Q1073994,Q7965561,NA,"NA",0
Q7789411,+1856-10-09T00:00:00Z,Q7199097,+1920-09-15T00:00:00Z,Q19202748,NA,NA,NA,NA,NA,"NA",0
