name,page,electorate,from_to,died
"JONES, Hamilton Cuffe",https://www.parliament.qld.gov.au/members/former/bio?id=921180238,Legislative Council,10 Oct 1917 - 23 Mar 1922,16 January 1960
"JONES, John",https://www.parliament.qld.gov.au/members/former/bio?id=2164998653,Kennedy,9 Oct 1920 - 12 May 1923,February 1950
"JONES, John Gore",https://www.parliament.qld.gov.au/members/former/bio?id=952321716,"Mitchell, Warwick",4 Feb 1862 - 1 Jan 1866,27 February 1868
"JONES, Norman Francis",https://www.parliament.qld.gov.au/members/former/bio?id=1399749928,Everton,27 May 1972 - 7 Dec 1974,21 April 2017
"JONES, Raymond, BEM",https://www.parliament.qld.gov.au/members/former/bio?id=3184170801,Cairns,27 Feb 1965 - 22 Oct 1983,22 April 2000
"JONES, Rees Rutland",https://www.parliament.qld.gov.au/members/former/bio?id=1598865830,Rockhampton North,12 May 1888 - 13 May 1893,30 November 1916
"JONES, Thomas Llewellyn",https://www.parliament.qld.gov.au/members/former/bio?id=1305545242,"Legislative Council, Oxley",22 May 1915 - 23 Mar 1922,18 June 1946
"JONES, Vincent Edward",https://www.parliament.qld.gov.au/members/former/bio?id=3386993400,Callide,29 Apr 1950 - 30 Oct 1971,30 October 1971
"JORDAN, Ellen Violet, AM",https://www.parliament.qld.gov.au/members/former/bio?id=924323316,Ipswich West,28 May 1966 - 7 Dec 1974,7 May 1982
"JORDAN, Henry",https://www.parliament.qld.gov.au/members/former/bio?id=2371396452,"Brisbane South, East Moreton, South Brisbane, Town Of Brisbane",11 May 1860 - 30 Jun 1890,30 June 1890
"JUDGE, Carl John",https://www.parliament.qld.gov.au/members/former/bio?id=1261350912,Yeerongpilly,24 Mar 2012 - 30 Jan 2015,
"KAISER, Michael Hans",https://www.parliament.qld.gov.au/members/former/bio?id=763295769,Woodridge,5 Feb 2000 - 17 Feb 2001,
"KANE, James David",https://www.parliament.qld.gov.au/members/former/bio?id=322531047,East Toowoomba,11 May 1935 - 2 Apr 1938,8 April 1964
"KATES, Francis Benjamin",https://www.parliament.qld.gov.au/members/former/bio?id=919791334,"Cunningham, Darling Downs",26 Nov 1878 - 26 Sep 1903,26 September 1903
"KATTER, Hon Robert Carl",https://www.parliament.qld.gov.au/members/former/bio?id=3141520394,Flinders,7 Dec 1974 - 19 Sep 1992,
"KAUS, William Bernard",https://www.parliament.qld.gov.au/members/former/bio?id=2979385359,"Hawthorne, Mansfield",28 May 1966 - 1 Nov 1986,20 December 2006
"KAYE, Ian Scott",https://www.parliament.qld.gov.au/members/former/bio?id=3060623828,Greenslopes,24 Mar 2012 - 30 Jan 2015,
"KEECH, Hon Margaret Majella",https://www.parliament.qld.gov.au/members/former/bio?id=1819768246,Albert,17 Feb 2001 - 23 Mar 2012,
"KEHOE, Gregory Brian",https://www.parliament.qld.gov.au/members/former/bio?id=2578388542,Nash,7 Mar 1953 - 3 Aug 1957,18 February 2005
"KELLETT, William",https://www.parliament.qld.gov.au/members/former/bio?id=1686090444,Stanley,10 Dec 1878 - 23 May 1888,19 March 1916
"KELSO, William",https://www.parliament.qld.gov.au/members/former/bio?id=57714334,Nundah,12 May 1923 - 11 Jun 1932,2 January 1956
"KEMPTON, David",https://www.parliament.qld.gov.au/members/former/bio?id=2170456654,Cook,24 Mar 2012 - 30 Jan 2015,
"KENNA, Francis",https://www.parliament.qld.gov.au/members/former/bio?id=1617384893,Bowen,11 Mar 1902 - 2 Oct 1909,23 June 1932
"KENNEDY, William Frances",https://www.parliament.qld.gov.au/members/former/bio?id=2644163150,Maranoa,27 Jun 1863 - 28 Jul 1864,1 January 1874
"KENNY, James Alexander Charles",https://www.parliament.qld.gov.au/members/former/bio?id=2320487646,Cook,11 May 1929 - 11 May 1935,24 July 1954
"KENT, William",https://www.parliament.qld.gov.au/members/former/bio?id=2901738855,Burnett,25 Mar 1899 - 27 Aug 1904,7 February 1906
"KEOGH, Denis Thomas",https://www.parliament.qld.gov.au/members/former/bio?id=1821882466,Rosewood,10 Mar 1896 - 24 Aug 1911,24 August 1911
"KEOGH, James Patrick",https://www.parliament.qld.gov.au/members/former/bio?id=4122691540,Merthyr,11 Jun 1932 - 31 Aug 1940,31 August 1940
"KERR, George",https://www.parliament.qld.gov.au/members/former/bio?id=4101020968,Barcoo,20 May 1893 - 2 Oct 1909,18 January 1930
"KERR, James Stevingstone",https://www.parliament.qld.gov.au/members/former/bio?id=2645568461,Enoggera,9 Oct 1920 - 11 Jun 1932,15 September 1960
"KERR, Thomas Caldwell",https://www.parliament.qld.gov.au/members/former/bio?id=162194456,"Oxley, Sherwood",17 Apr 1943 - 19 May 1956,25 June 1956
"KERWIN, Dr Patrick James",https://www.parliament.qld.gov.au/members/former/bio?id=1964994988,Merthyr,11 May 1929 - 11 Jun 1932,2 September 1950
"KESSELL, John Henry",https://www.parliament.qld.gov.au/members/former/bio?id=500138367,Port Curtis,26 Oct 1912 - 22 May 1915,15 November 1933
"KEYATTA, George",https://www.parliament.qld.gov.au/members/former/bio?id=3606843143,Townsville,27 May 1939 - 28 May 1960,25 August 1962
"KIDGELL, James Gawthorne",https://www.parliament.qld.gov.au/members/former/bio?id=3768256548,Gympie,23 Mar 1877 - 15 Nov 1878,20 May 1915
"KIDSTON, Hon William",https://www.parliament.qld.gov.au/members/former/bio?id=8550388,Rockhampton,4 Apr 1896 - 7 Feb 1911,25 October 1919
"KIERNAN, Betty Margaret",https://www.parliament.qld.gov.au/members/former/bio?id=723201704,Mount Isa,9 Sep 2006 - 23 Mar 2012,
"KILBURN, Steven",https://www.parliament.qld.gov.au/members/former/bio?id=241108781,Chatsworth,21 Mar 2009 - 23 Mar 2012,
"KILPATRICK, Charles",https://www.parliament.qld.gov.au/members/former/bio?id=3022602754,Legislative Council,19 Feb 1920 - 23 Mar 1922,28 May 1935
"KING, Gavin Ryan",https://www.parliament.qld.gov.au/members/former/bio?id=61798475,Cairns,24 Mar 2012 - 30 Jan 2015,
"KING, George",https://www.parliament.qld.gov.au/members/former/bio?id=750736823,Legislative Council,26 Jan 1882 - 19 Mar 1890,22 June 1894
"KING, Henry Edward",https://www.parliament.qld.gov.au/members/former/bio?id=3408036467,"Maryborough, Ravenswood, Wide Bay",12 Aug 1870 - 17 Aug 1883,5 February 1910
"KING, Hon Reginald Macdonnell",https://www.parliament.qld.gov.au/members/former/bio?id=4062150966,Logan,9 Oct 1920 - 11 May 1935,7 September 1955
"KING, Robert George",https://www.parliament.qld.gov.au/members/former/bio?id=4061880692,Nicklin,2 Dec 1989 - 22 Nov 1990,
"KING, Robert",https://www.parliament.qld.gov.au/members/former/bio?id=1456787652,Maranoa,13 May 1893 - 18 Mar 1899,20 February 1905
"KING, William Thomas",https://www.parliament.qld.gov.au/members/former/bio?id=2966215564,Maree,11 Jun 1932 - 29 Mar 1941,2 April 1966
"KINGSBURY, John James",https://www.parliament.qld.gov.au/members/former/bio?id=1459057198,Brisbane North,29 Apr 1893 - 10 Mar 1896,2 August 1939
"KINGSFORD, Richard Ash",https://www.parliament.qld.gov.au/members/former/bio?id=646551154,South Brisbane,26 May 1875 - 21 Aug 1883,2 January 1902
"KINGSTON, Dr John Alan",https://www.parliament.qld.gov.au/members/former/bio?id=1546769147,Maryborough,13 Jun 1998 - 24 Mar 2003,
"KIPPIN, Victoria Ann",https://www.parliament.qld.gov.au/members/former/bio?id=678580369,Mourilyan,7 Dec 1974 - 29 Nov 1980,2019
"KIRWAN, Michael Joseph",https://www.parliament.qld.gov.au/members/former/bio?id=1727806166,Brisbane,27 Apr 1912 - 11 Jun 1932,13 February 1941
"KNOX, Hon Sir William Edward, OSJ, KSJI",https://www.parliament.qld.gov.au/members/former/bio?id=2213777596,Nundah,3 Aug 1957 - 2 Dec 1989,22 September 2001
"KNUTH, Jeffrey Alan",https://www.parliament.qld.gov.au/members/former/bio?id=3836827589,Burdekin,13 Jun 1998 - 17 Feb 2001,
"KRUGER, Raymond Charles",https://www.parliament.qld.gov.au/members/former/bio?id=2341792001,Murrumba,12 Nov 1977 - 1 Nov 1986,24 July 2003
"KYBURZ, Rosemary Annette",https://www.parliament.qld.gov.au/members/former/bio?id=2636941416,Salisbury,7 Dec 1974 - 22 Oct 1983,
"LAIDLEY, James Turquand",https://www.parliament.qld.gov.au/members/former/bio?id=1058817618,Legislative Council,1 May 1860 - 16 Aug 1864,29 March 1877
"LALOR, James",https://www.parliament.qld.gov.au/members/former/bio?id=2192478313,"Legislative Council, Maranoa",5 Dec 1878 - 11 Aug 1921,16 February 1922
"LAMB, Edward William",https://www.parliament.qld.gov.au/members/former/bio?id=3880345295,Mitchell,4 Jan 1867 - 3 Dec 1869,18 October 1910
"LAMBERT, William Frederick",https://www.parliament.qld.gov.au/members/former/bio?id=4181411204,Legislative Council,15 Mar 1872 - 3 Dec 1901,20 August 1908
"LAMING, Bruce Edric",https://www.parliament.qld.gov.au/members/former/bio?id=3549193475,Mooloolah,19 Sep 1992 - 17 Feb 2001,11 September 2017
"LAMOND, William McMillan",https://www.parliament.qld.gov.au/members/former/bio?id=325857174,Wynnum,7 Dec 1974 - 12 Nov 1977,5 July 1990
"LAMONT, Alexander James",https://www.parliament.qld.gov.au/members/former/bio?id=815430894,South Brisbane,11 Mar 1902 - 27 Aug 1904,27 June 1934
"LAMONT, Colin Charles",https://www.parliament.qld.gov.au/members/former/bio?id=1314931435,South Brisbane,7 Dec 1974 - 12 Nov 1977,7 July 2012
"LAND, Edward Martin",https://www.parliament.qld.gov.au/members/former/bio?id=2371229816,Balonne,27 Aug 1904 - 2 May 1927,2 May 1927
"LANDSBOROUGH, William",https://www.parliament.qld.gov.au/members/former/bio?id=568021506,Legislative Council,20 Dec 1862 - 23 Sep 1865,16 March 1886
"LANE, Donald Frederick",https://www.parliament.qld.gov.au/members/former/bio?id=1532420860,Merthyr,24 Jul 1971 - 30 Jan 1989,11 March 1995
"LARCOMBE, James",https://www.parliament.qld.gov.au/members/former/bio?id=2200925520,"Keppel, Rockhampton",27 Apr 1912 - 19 May 1956,21 June 1957
"LATTER, Michael Ross",https://www.parliament.qld.gov.au/members/former/bio?id=4059658242,Waterford,24 Mar 2012 - 30 Jan 2015,
"LAVARCH, Linda Denise",https://www.parliament.qld.gov.au/members/former/bio?id=948750847,Kurwongbah,24 May 1997 - 20 Mar 2009,
"LAWLOR, Peter Joseph",https://www.parliament.qld.gov.au/members/former/bio?id=1459685748,Southport,17 Feb 2001 - 23 Mar 2012,
"LAWSON, George",https://www.parliament.qld.gov.au/members/former/bio?id=698474686,Legislative Council,18 Aug 1919 - 23 Mar 1922,25 November 1966
"LEAHY, John",https://www.parliament.qld.gov.au/members/former/bio?id=1727716513,Bulloo,25 Apr 1893 - 20 Jan 1909,20 January 1909
"LEAHY, Patrick James",https://www.parliament.qld.gov.au/members/former/bio?id=4066263835,"Legislative Council, Warrego",11 Mar 1902 - 23 Mar 1922,13 October 1927
"LEE, Hon Norman Edward",https://www.parliament.qld.gov.au/members/former/bio?id=3149526383,Yeronga,6 Jun 1964 - 2 Dec 1989,3 April 2002
"LEE, Ronan Oliver",https://www.parliament.qld.gov.au/members/former/bio?id=4116577412,Indooroopilly,17 Feb 2001 - 20 Mar 2009,
"LEE LONG, Rosa Theresa",https://www.parliament.qld.gov.au/members/former/bio?id=3839238217,Tablelands,17 Feb 2001 - 20 Mar 2009,
"LEESE, Kenneth James",https://www.parliament.qld.gov.au/members/former/bio?id=1458577726,Pine Rivers,27 May 1972 - 7 Dec 1974,
"LENNON, William",https://www.parliament.qld.gov.au/members/former/bio?id=279669177,"Herbert, Legislative Council",18 May 1907 - 23 Mar 1922,5 May 1938
"LESINA, Vincent Bernard Joseph",https://www.parliament.qld.gov.au/members/former/bio?id=2009150628,Clermont,11 Mar 1899 - 27 Apr 1912,14 July 1955
"LESTER, Hon Vincent Patrick",https://www.parliament.qld.gov.au/members/former/bio?id=4240610839,"Belyando, Keppel, Peak Downs",7 Dec 1974 - 7 Feb 2004,
"LICKISS, Hon William Daniel, QGM",https://www.parliament.qld.gov.au/members/former/bio?id=3269702586,"Moggill, Mount Coot-tha",1 Jun 1963 - 29 Nov 1989,22 February 1993
"LILLEY, Sir Charles",https://www.parliament.qld.gov.au/members/former/bio?id=3236058139,"Fortitude Valley, Hamlet Of Fortitude Valley",1 May 1860 - 14 Feb 1874,20 August 1897
"LINDLEY, George",https://www.parliament.qld.gov.au/members/former/bio?id=176613367,Wide Bay,11 Mar 1902 - 18 May 1907,19 June 1935
"LINDSAY, Brian David Valentine",https://www.parliament.qld.gov.au/members/former/bio?id=3411323419,Everton,7 Dec 1974 - 12 Nov 1977,
"LINGARD, Hon Kevin Rowson",https://www.parliament.qld.gov.au/members/former/bio?id=48455063,"Beaudesert, Fassifern",22 Oct 1983 - 20 Mar 2009,
"LINNETT, John",https://www.parliament.qld.gov.au/members/former/bio?id=4149348861,Rockhampton North,17 Oct 1901 - 11 Mar 1902,16 May 1902
"LISSNER, Isidore Siegfried",https://www.parliament.qld.gov.au/members/former/bio?id=1010931111,"Cairns, Kennedy",5 Oct 1883 - 11 Mar 1899,22 July 1902
"LITTLE, William Clancy",https://www.parliament.qld.gov.au/members/former/bio?id=2666893043,Woothakata,19 May 1888 - 20 May 1893,18 June 1902
"LITTLEPROUD, Hon Brian George",https://www.parliament.qld.gov.au/members/former/bio?id=1025348732,"Condamine, Western Downs",22 Oct 1983 - 17 Feb 2001,
"LIVINGSTONE, Donald Wallace",https://www.parliament.qld.gov.au/members/former/bio?id=1113445454,Ipswich West,2 Dec 1989 - 9 Sep 2006,15 October 2015
"LLEWELYN, Evan John",https://www.parliament.qld.gov.au/members/former/bio?id=931953411,Toowoomba,4 Apr 1925 - 28 Nov 1935,11 June 1967
"LLEWELYN, Henry",https://www.parliament.qld.gov.au/members/former/bio?id=2185792234,Legislative Council,10 Oct 1917 - 23 Mar 1922,6 August 1933
"LLOYD, Eric Gayford",https://www.parliament.qld.gov.au/members/former/bio?id=951941704,Kedron,14 Apr 1951 - 27 May 1972,3 June 2003
"LLOYD, William Field",https://www.parliament.qld.gov.au/members/former/bio?id=3234703885,"Enoggera, Kelvin Grove",22 May 1915 - 11 May 1929,29 May 1965
"LOCKWOOD, Dr John Aubrey Ross",https://www.parliament.qld.gov.au/members/former/bio?id=2019697794,Toowoomba North,7 Dec 1974 - 22 Oct 1983,
"LOGAN, George Andrew",https://www.parliament.qld.gov.au/members/former/bio?id=4267300776,Lockyer,9 Oct 1920 - 11 May 1929,25 November 1953
"LONERGAN, William Horace",https://www.parliament.qld.gov.au/members/former/bio?id=419309883,Flinders,3 Aug 1957 - 28 Oct 1974,27 June 1981
"LONG, William Houston",https://www.parliament.qld.gov.au/members/former/bio?id=1500483983,Legislative Council,10 Mar 1873 - 1 Mar 1878,29 August 1912
"LONGMAN, Irene Maud",https://www.parliament.qld.gov.au/members/former/bio?id=1580834654,Bulimba,11 May 1929 - 11 Jun 1932,29 July 1964
"LORD, Frederick",https://www.parliament.qld.gov.au/members/former/bio?id=269948294,Stanley,29 Apr 1893 - 11 Mar 1902,5 December 1914
"LORD, Robert Stuart",https://www.parliament.qld.gov.au/members/former/bio?id=3961702507,Gympie,7 Nov 1873 - 9 Mar 1877,23 July 1878
"LOVEJOY, William",https://www.parliament.qld.gov.au/members/former/bio?id=818462382,Aubigny,29 Apr 1893 - 18 Jul 1894,27 August 1913
"LOW, David Alan",https://www.parliament.qld.gov.au/members/former/bio?id=684446009,Cooroora,3 May 1947 - 16 Oct 1974,22 October 1974
"LOW, Jacob",https://www.parliament.qld.gov.au/members/former/bio?id=3387176101,Balonne,25 May 1874 - 14 Sep 1883,14 September 1883
"LOWES, Harold Bertram",https://www.parliament.qld.gov.au/members/former/bio?id=30729531,Brisbane,7 Dec 1974 - 12 Nov 1977,22 August 2002
"LUCAS, Hon Paul Thomas",https://www.parliament.qld.gov.au/members/former/bio?id=918288270,Lytton,5 Oct 1996 - 23 Mar 2012,
"LUCKINS, Louis Wells",https://www.parliament.qld.gov.au/members/former/bio?id=2640881996,"Maree, Norman",29 Mar 1941 - 6 Mar 1953,6 July 1970
"LUKE, Alfred James",https://www.parliament.qld.gov.au/members/former/bio?id=3825648167,Aubigny,27 Apr 1912 - 22 May 1915,11 September 1920
"LUYA, Abraham Fleetwood",https://www.parliament.qld.gov.au/members/former/bio?id=316582015,South Brisbane,12 May 1888 - 6 Jul 1899,6 July 1899
"LYONS, James",https://www.parliament.qld.gov.au/members/former/bio?id=1593275662,Cairns,11 Mar 1902 - 27 Aug 1904,27 July 1915
"LYONS, Robert",https://www.parliament.qld.gov.au/members/former/bio?id=434319880,Fitzroy,4 May 1888 - 17 Jul 1889,8 April 1892
"MACALISTER, Arthur CMG",https://www.parliament.qld.gov.au/members/former/bio?id=3159567398,"Eastern Downs, Ipswich",10 May 1860 - 14 Jun 1876,23 March 1883
"MACANSH, John Donald",https://www.parliament.qld.gov.au/members/former/bio?id=4038293882,Legislative Council,17 Apr 1886 - 1 Aug 1896,1 August 1896
"MACARTNEY, Sir Edward Henry",https://www.parliament.qld.gov.au/members/former/bio?id=2416794024,"Brisbane North, Toowong",24 Nov 1900 - 9 Oct 1920,24 February 1956
"MACDEVITT, Edward O'Donnell",https://www.parliament.qld.gov.au/members/former/bio?id=4166600696,"Kennedy, Ravenswood",15 Sep 1870 - 13 Nov 1874,4 February 1898
"MACDONALD, Duncan",https://www.parliament.qld.gov.au/members/former/bio?id=2548504386,"Somerset, Stanley",2 Apr 1938 - 7 Mar 1953,28 September 1977
"MACDONALD, Peter Fitzallan",https://www.parliament.qld.gov.au/members/former/bio?id=624661065,Blackall,18 Nov 1873 - 28 Nov 1878,19 June 1919
"MACDONALD-PATERSON, Thomas",https://www.parliament.qld.gov.au/members/former/bio?id=2977206550,"Brisbane North, Legislative Council, Moreton, Rockhampton",15 Nov 1878 - 31 Jul 1901,21 March 1906
"MACFARLANE, John",https://www.parliament.qld.gov.au/members/former/bio?id=1552605794,Ipswich,7 Mar 1878 - 7 Mar 1894,7 March 1894
"MACFARLANE, John",https://www.parliament.qld.gov.au/members/former/bio?id=3895270833,"Leichhardt, Rockhampton",20 Nov 1877 - 10 Apr 1880,10 April 1880
"MACGREGOR, Peter Balderston",https://www.parliament.qld.gov.au/members/former/bio?id=776742870,Merthyr,9 Oct 1920 - 12 May 1923,10 April 1936
"MACGROARTY, Neil Francis",https://www.parliament.qld.gov.au/members/former/bio?id=704416568,South Brisbane,11 May 1929 - 11 Jun 1932,10 August 1971
"MACKAY, Angus",https://www.parliament.qld.gov.au/members/former/bio?id=1601811062,South Brisbane,22 Nov 1878 - 24 Mar 1880,8 February 1910
"MACKAY, George Hugh",https://www.parliament.qld.gov.au/members/former/bio?id=974089194,Gympie,27 Apr 1912 - 22 May 1915,5 November 1961
"MACKENROTH, Hon Terence Michael",https://www.parliament.qld.gov.au/members/former/bio?id=1086157460,Chatsworth,12 Nov 1977 - 25 Jul 2005,30 April 2018
"MACKENZIE, Sir Robert Ramsay",https://www.parliament.qld.gov.au/members/former/bio?id=1380644836,Burnett,4 May 1860 - 6 Apr 1869,19 September 1873
"MACKINTOSH, Donald",https://www.parliament.qld.gov.au/members/former/bio?id=3316283616,"Cambooya, Pittsworth",18 Mar 1899 - 22 May 1915,5 May 1932
"MACPHERSON, Peter",https://www.parliament.qld.gov.au/members/former/bio?id=3496514792,Legislative Council,1 Jul 1881 - 12 Sep 1913,12 September 1913
"MACROSSAN, Hugh Denis",https://www.parliament.qld.gov.au/members/former/bio?id=644060998,Windsor,27 Apr 1912 - 22 May 1915,23 June 1940
"MACROSSAN, John Murtagh",https://www.parliament.qld.gov.au/members/former/bio?id=2685191799,"Kennedy, Townsville",25 Nov 1873 - 30 Mar 1891,30 March 1891
"MADDERN, Marguerete Anne",https://www.parliament.qld.gov.au/members/former/bio?id=1081215768,Maryborough,24 Mar 2012 - 30 Jan 2015,
"MADSEN, Hon Otto Ottosen",https://www.parliament.qld.gov.au/members/former/bio?id=1021246986,Warwick,3 May 1947 - 3 Aug 1963,3 August 1963
"MAHER, Edmund Bede, CBE",https://www.parliament.qld.gov.au/members/former/bio?id=3940256629,"Rosewood, West Moreton",11 May 1929 - 27 Oct 1949,31 December 1982
"MALE, Carolyn Therese",https://www.parliament.qld.gov.au/members/former/bio?id=2797644485,"Glass House, Pine Rivers",17 Feb 2001 - 23 Mar 2012,
"MALONE, George Edward",https://www.parliament.qld.gov.au/members/former/bio?id=4211699499,Mirani,30 Apr 1994 - 30 Jan 2015,
"MANN, John Henry",https://www.parliament.qld.gov.au/members/former/bio?id=3969662033,Brisbane,4 Apr 1936 - 17 May 1969,7 January 1973
"MANN, John",https://www.parliament.qld.gov.au/members/former/bio?id=3301365411,Cairns,27 Aug 1904 - 27 Apr 1912,1 January 1939
"MARGINSON, Evan",https://www.parliament.qld.gov.au/members/former/bio?id=85648212,"Ipswich East, Wolston",17 May 1969 - 18 Oct 1977,16 November 1977
"MARKS, Dr Charles Ferdinand",https://www.parliament.qld.gov.au/members/former/bio?id=3270252501,Legislative Council,28 Nov 1888 - 23 Mar 1922,28 March 1941
"MARRIOTT, George Henry",https://www.parliament.qld.gov.au/members/former/bio?id=2398240939,Bulimba,2 Apr 1938 - 29 Apr 1950,24 September 1964
"MARSDEN, Ivor",https://www.parliament.qld.gov.au/members/former/bio?id=134721369,"Ipswich West, Ipswich",10 Sep 1949 - 28 May 1966,18 November 1976
"MARTIN, George",https://www.parliament.qld.gov.au/members/former/bio?id=3639065651,Burrum,11 Mar 1902 - 14 May 1905,14 May 1905
"MASSEY, Harry",https://www.parliament.qld.gov.au/members/former/bio?id=2650930440,Toowong,2 Apr 1938 - 15 Apr 1944,3 June 1962
"MASSIE, Robert George",https://www.parliament.qld.gov.au/members/former/bio?id=1988647868,Legislative Council,1 May 1860 - 14 May 1862,13 September 1883
"MAUGHAN, William John Ryott",https://www.parliament.qld.gov.au/members/former/bio?id=76958441,"Burnett, Ipswich",28 May 1898 - 27 Apr 1912,9 April 1933
"MAXWELL, James Francis",https://www.parliament.qld.gov.au/members/former/bio?id=292695945,Toowong,9 Oct 1920 - 2 Apr 1938,16 April 1941
"MAXWELL, William",https://www.parliament.qld.gov.au/members/former/bio?id=3979627251,Burke,18 Mar 1899 - 2 Oct 1909,23 April 1921
"MAY, John",https://www.parliament.qld.gov.au/members/former/bio?id=1779655170,Flinders,18 May 1907 - 29 Dec 1917,29 December 1917
"MCCATHIE, Colin George",https://www.parliament.qld.gov.au/members/former/bio?id=547430748,Haughton,29 Apr 1950 - 28 May 1960,1 September 1986
"MCCAULEY, Diane Elizabeth",https://www.parliament.qld.gov.au/members/former/bio?id=1159573802,Callide,1 Nov 1986 - 13 Jun 1998,
"MCCONNEL, John",https://www.parliament.qld.gov.au/members/former/bio?id=3943002827,Legislative Council,24 Apr 1861 - 16 Jul 1868,27 January 1899
"MCCORD, William Foster",https://www.parliament.qld.gov.au/members/former/bio?id=4226802550,Burnett,28 Mar 1896 - 14 Apr 1898,14 April 1898
"MCCORMACK, William",https://www.parliament.qld.gov.au/members/former/bio?id=2134179747,Cairns,27 Apr 1912 - 21 Feb 1930,21 November 1947
"MCDONALD, Charles",https://www.parliament.qld.gov.au/members/former/bio?id=984608544,Flinders,20 May 1893 - 24 Jun 1901,13 November 1925
"MCDONALD, Lewis Richard",https://www.parliament.qld.gov.au/members/former/bio?id=3897696333,Legislative Council,10 Oct 1917 - 23 Mar 1922,18 September 1936
"MCDONNELL, Francis",https://www.parliament.qld.gov.au/members/former/bio?id=468052901,"Fortitude Valley, Legislative Council",21 Mar 1896 - 23 Mar 1922,26 November 1928
"MCDOUGALL, John Frederick",https://www.parliament.qld.gov.au/members/former/bio?id=3300983446,Legislative Council,1 May 1860 - 13 Sep 1895,11 November 1896
"MCEACHAN, Matthew John",https://www.parliament.qld.gov.au/members/former/bio?id=1815862054,Redlands,31 Jan 2015 - 24 Nov 2017,
"MCELLIGOTT, Kenneth Victor",https://www.parliament.qld.gov.au/members/former/bio?id=3635365134,"Thuringowa, Townsville",22 Oct 1983 - 13 Jun 1998,
"MCGAHAN, Thomas",https://www.parliament.qld.gov.au/members/former/bio?id=24669495,Cunningham,21 Mar 1896 - 11 Mar 1899,11 December 1932
"MCGHIE, Charles Stewart",https://www.parliament.qld.gov.au/members/former/bio?id=3699045626,Legislative Council,4 May 1904 - 21 Jan 1917,21 January 1917
"MCGRADY, Hon Anthony AM",https://www.parliament.qld.gov.au/members/former/bio?id=899196480,Mount Isa,2 Dec 1989 - 9 Sep 2006,
"MCILWRAITH, Sir Thomas",https://www.parliament.qld.gov.au/members/former/bio?id=1086314255,"Brisbane North, Maranoa, Mulgrave, Warrego",5 Jan 1870 - 21 Mar 1896,17 July 1900
"MCINTYRE, Donald",https://www.parliament.qld.gov.au/members/former/bio?id=1606751521,Aubigny,18 May 1907 - 5 Feb 1908,6 November 1927
"MCINTYRE, Malcolm",https://www.parliament.qld.gov.au/members/former/bio?id=2942930604,Cunningham,15 Apr 1944 - 7 Mar 1953,12 August 1969
"MCKECHNIE, Henry Arthur",https://www.parliament.qld.gov.au/members/former/bio?id=2058030020,Carnarvon,1 Jun 1963 - 24 Oct 1974,2 January 1984
"MCKECHNIE, Hon Peter Richard",https://www.parliament.qld.gov.au/members/former/bio?id=783944100,Carnarvon,7 Dec 1974 - 27 Nov 1989,26 May 2011
"MCLACHLAN, Peter Alfred",https://www.parliament.qld.gov.au/members/former/bio?id=940424838,"Fortitude Valley, Merthyr",5 Feb 1908 - 11 May 1929,27 October 1929
"MCLEAN, Bernard",https://www.parliament.qld.gov.au/members/former/bio?id=2615861517,Bundaberg,11 May 1935 - 29 Mar 1941,11 December 1955
"MCLEAN, John Donald",https://www.parliament.qld.gov.au/members/former/bio?id=3808770530,Eastern Downs,2 May 1862 - 16 Dec 1866,16 December 1866
"MCLEAN, Peter",https://www.parliament.qld.gov.au/members/former/bio?id=902210108,Logan,9 May 1876 - 17 Aug 1883,10 December 1924
"MCLEAN, Ronald Thomas",https://www.parliament.qld.gov.au/members/former/bio?id=2025279900,Bulimba,29 Nov 1980 - 19 Sep 1992,13 February 1999
"MCLINDON, Aidan",https://www.parliament.qld.gov.au/members/former/bio?id=2025491313,Beaudesert,21 Mar 2009 - 23 Mar 2012,
"MCMASTER, John",https://www.parliament.qld.gov.au/members/former/bio?id=841201137,"Fortitude Valley, Legislative Council",14 Sep 1885 - 5 Feb 1908,29 February 1924
"MCMINN, Hugh Cameron",https://www.parliament.qld.gov.au/members/former/bio?id=2355792959,Bulimba,22 May 1915 - 16 Mar 1918,2 December 1941
"MCNAMARA, Andrew Ian",https://www.parliament.qld.gov.au/members/former/bio?id=194975652,Hervey Bay,17 Feb 2001 - 20 Mar 2009,
"MCPHAIL, Herbert George",https://www.parliament.qld.gov.au/members/former/bio?id=65258561,"Legislative Council, Windsor",22 May 1915 - 23 Mar 1922,20 September 1951
"MCPHIE, Alexander Carpendale",https://www.parliament.qld.gov.au/members/former/bio?id=1185628245,Toowoomba North,22 Oct 1983 - 2 Dec 1989,
"MCVEIGH, Dr John Joseph",https://www.parliament.qld.gov.au/members/former/bio?id=3893503614,Toowoomba South,24 Mar 2012 - 29 Apr 2016,
"MCWHANNELL, Thomas",https://www.parliament.qld.gov.au/members/former/bio?id=1612095002,Gregory,21 Mar 1882 - 21 Mar 1888,17 March 1888
"MEIN, Charles Stuart",https://www.parliament.qld.gov.au/members/former/bio?id=1715956679,Legislative Council,19 May 1876 - 22 Apr 1885,30 June 1890
"MELBOURNE, Charles Sydney Dick",https://www.parliament.qld.gov.au/members/former/bio?id=2725599148,Legislative Council,18 Apr 1878 - 18 Aug 1885,23 September 1891
