name,page,electorate,from_to,died
"GRIFFITH, Sir Samuel Walker",https://www.parliament.qld.gov.au/members/former/bio?id=1987751829,"Brisbane, East Moreton, Oxley",3 Apr 1872 - 29 Apr 1893,9 August 1920
"GRIMES, George",https://www.parliament.qld.gov.au/members/former/bio?id=2188389531,Bulimba,18 Nov 1876 - 29 Nov 1878,28 January 1910
"GRIMES, Samuel",https://www.parliament.qld.gov.au/members/former/bio?id=2537104871,Oxley,3 Dec 1878 - 18 Jun 1902,18 June 1902
"GRIMSTONE, Ernest Lancelot",https://www.parliament.qld.gov.au/members/former/bio?id=3587747797,Stanley,25 Feb 1928 - 22 Oct 1933,22 October 1933
"GRIMWADE, Darren John",https://www.parliament.qld.gov.au/members/former/bio?id=1088135007,Morayfield,24 Mar 2012 - 30 Jan 2015,
"GROOM, Henry Littleton",https://www.parliament.qld.gov.au/members/former/bio?id=2960738121,Legislative Council,12 Jul 1906 - 23 Mar 1922,4 January 1926
"GROOM, William Henry",https://www.parliament.qld.gov.au/members/former/bio?id=3755958473,"Drayton & Toowoomba, Toowoomba",11 Aug 1862 - 4 Jun 1901,8 August 1901
"GULLEY, Reg",https://www.parliament.qld.gov.au/members/former/bio?id=2427325087,Murrumba,24 Mar 2012 - 30 Jan 2015,
"GUNN, Donald",https://www.parliament.qld.gov.au/members/former/bio?id=4005571990,Carnarvon,18 May 1907 - 9 Oct 1920,24 July 1943
"GUNN, Hon William Angus",https://www.parliament.qld.gov.au/members/former/bio?id=4054093501,Somerset,21 May 1972 - 19 Sep 1992,21 September 2001
"GUNN, William Morrison",https://www.parliament.qld.gov.au/members/former/bio?id=667903940,Wynnum,15 Apr 1944 - 28 May 1966,9 April 1970
"GYGAR, Terence Joseph",https://www.parliament.qld.gov.au/members/former/bio?id=3051715516,Stafford,7 Dec 1974 - 2 Dec 1989,
"HADLEY, James William",https://www.parliament.qld.gov.au/members/former/bio?id=3036477022,Nundah,19 May 1956 - 3 Aug 1957,16 July 1971
"HALES, Albert",https://www.parliament.qld.gov.au/members/former/bio?id=1606378657,Ipswich West,7 Dec 1974 - 12 Nov 1977,
"HALL, George Joseph",https://www.parliament.qld.gov.au/members/former/bio?id=854930607,Bundaberg,16 Jun 1892 - 6 May 1893,21 November 1924
"HALL, Thomas Murray",https://www.parliament.qld.gov.au/members/former/bio?id=3702438949,Legislative Council,12 Jul 1906 - 23 Mar 1922,18 April 1927
"HALY, Charles Robert",https://www.parliament.qld.gov.au/members/former/bio?id=2849466027,"Burnett, Leichhardt",4 May 1860 - 14 Nov 1878,26 August 1892
"HAMILL, Hon David John, AM",https://www.parliament.qld.gov.au/members/former/bio?id=423617286,Ipswich,22 Oct 1983 - 17 Feb 2001,
"HAMILTON, John",https://www.parliament.qld.gov.au/members/former/bio?id=385577829,"Cook, Gympie",15 Nov 1878 - 27 Aug 1904,7 December 1916
"HAMILTON, William",https://www.parliament.qld.gov.au/members/former/bio?id=1607526834,"Gregory, Legislative Council",25 Mar 1899 - 27 Jul 1920,27 July 1920
"HANDY, John Killeen",https://www.parliament.qld.gov.au/members/former/bio?id=2200824702,"Mitchell, Town Of Brisbane",18 Jun 1870 - 14 Nov 1873,24 January 1874
"HANLON, Edward Michael",https://www.parliament.qld.gov.au/members/former/bio?id=3968617255,Ithaca,8 May 1926 - 15 Jan 1952,15 January 1952
"HANLON, John Stanislaus",https://www.parliament.qld.gov.au/members/former/bio?id=771064208,Legislative Council,19 Feb 1920 - 23 Mar 1922,13 September 1949
"HANLON, Patrick Joseph",https://www.parliament.qld.gov.au/members/former/bio?id=1350724295,"Baroona, Ithaca",8 Dec 1956 - 7 Dec 1974,30 October 2014
"HANRAN, Patrick Francis",https://www.parliament.qld.gov.au/members/former/bio?id=500459940,Townsville,11 Mar 1899 - 2 Oct 1909,8 August 1916
"HANSEN, Brendan Percival",https://www.parliament.qld.gov.au/members/former/bio?id=1739411422,Maryborough,12 Nov 1977 - 22 Oct 1983,19 December 1999
"HANSON, Edward Joseph",https://www.parliament.qld.gov.au/members/former/bio?id=1407241742,"Buranda, Legislative Council",19 Feb 1920 - 3 May 1947,26 October 1950
"HANSON, Martin",https://www.parliament.qld.gov.au/members/former/bio?id=4244593889,Port Curtis,1 Jun 1963 - 19 Feb 1976,20 February 1976
"HARDACRE, Hon Herbert Freemont",https://www.parliament.qld.gov.au/members/former/bio?id=3282815795,Leichhardt,20 May 1893 - 14 Oct 1919,5 March 1938
"HARDEN, Henry Scott",https://www.parliament.qld.gov.au/members/former/bio?id=206083973,Legislative Council,10 Jun 1868 - 1 Jun 1870,10 March 1879
"HARDEN, Theodore",https://www.parliament.qld.gov.au/members/former/bio?id=2125551281,Mitchell,22 Feb 1866 - 23 Nov 1866,1 January 1900
"HARDING, William St John",https://www.parliament.qld.gov.au/members/former/bio?id=2671903344,Rockhampton North,13 May 1893 - 4 Apr 1896,26 December 1903
"HARGREAVES, John Henry",https://www.parliament.qld.gov.au/members/former/bio?id=2727168479,Cook,27 Aug 1904 - 19 Jan 1907,19 January 1907
"HARPER, Hon Neville John",https://www.parliament.qld.gov.au/members/former/bio?id=3022745277,Auburn,29 Nov 1980 - 19 Sep 1992,
"HARPER, Robert Malcolm",https://www.parliament.qld.gov.au/members/former/bio?id=3445055472,Mount Ommaney,15 Jul 1995 - 13 Jun 1998,2 November 2017
"HARRIS, Edward David",https://www.parliament.qld.gov.au/members/former/bio?id=2780833905,Wynnum,28 May 1966 - 7 Dec 1974,2 October 1993
"HARRIS, George",https://www.parliament.qld.gov.au/members/former/bio?id=883272875,Legislative Council,23 May 1860 - 6 Nov 1876,28 March 1891
"HARRISON, Robert Leslie",https://www.parliament.qld.gov.au/members/former/bio?id=2243223732,"Darlington, Logan",3 Aug 1957 - 15 Apr 1966,15 April 1966
"HART, Frederick Hamilton Scott",https://www.parliament.qld.gov.au/members/former/bio?id=1957919442,Legislative Council,11 Jul 1872 - 15 Jul 1915,15 July 1915
"HART, Graham Lloyd",https://www.parliament.qld.gov.au/members/former/bio?id=1406362117,Mount Gravatt,3 Aug 1957 - 24 Jan 1963,18 April 1974
"HARTLEY, Harold Leslie",https://www.parliament.qld.gov.au/members/former/bio?id=4216375708,Fitzroy,22 May 1915 - 11 May 1929,23 August 1958
"HARTLEY, William",https://www.parliament.qld.gov.au/members/former/bio?id=1405203700,Kurilpa,22 May 1915 - 16 Mar 1918,15 May 1950
"HARTWIG, Lindsay Earle",https://www.parliament.qld.gov.au/members/former/bio?id=1497701760,Callide,27 May 1972 - 1 Nov 1986,2 April 1996
"HARVEY, Leisha Teresa",https://www.parliament.qld.gov.au/members/former/bio?id=921233393,Greenslopes,22 Oct 1983 - 2 Dec 1989,
"HARVEY, William Charles Roy, AM",https://www.parliament.qld.gov.au/members/former/bio?id=217808789,Stafford,27 May 1972 - 7 Dec 1974,23 April 2006
"HATHAWAY, John Damien",https://www.parliament.qld.gov.au/members/former/bio?id=1426809465,Townsville,24 Mar 2012 - 30 Jan 2015,
"HAWTHORN, Arthur George Clarence",https://www.parliament.qld.gov.au/members/former/bio?id=2135423557,"Enoggera, Legislative Council",11 Mar 1902 - 23 Mar 1922,6 May 1934
"HAYES, John Vincent",https://www.parliament.qld.gov.au/members/former/bio?id=1271773489,Nundah,11 Jun 1932 - 3 May 1947,16 June 1986
"HAYWARD, Hon Kenneth William",https://www.parliament.qld.gov.au/members/former/bio?id=3232102263,"Caboolture, Kallangur",1 Nov 1986 - 20 Mar 2009,
"HEADING, Sir James Alfred, CMG, DCM, MM",https://www.parliament.qld.gov.au/members/former/bio?id=3370605472,"Marodian, Wide Bay",3 May 1947 - 27 May 1960,9 April 1969
"HEALY, Graham John",https://www.parliament.qld.gov.au/members/former/bio?id=2213765951,Toowoomba North,19 Sep 1992 - 17 Feb 2001,
"HEALY, John Joseph O'Connor",https://www.parliament.qld.gov.au/members/former/bio?id=1586878514,Warwick,11 May 1935 - 3 May 1947,18 July 1970
"HEATH, Philip Arthur",https://www.parliament.qld.gov.au/members/former/bio?id=1550120691,Nundah,2 Dec 1989 - 5 Apr 1991,
"HEATLEY, William Clarence",https://www.parliament.qld.gov.au/members/former/bio?id=2518063628,Albert,14 Feb 1970 - 29 Oct 1971,29 October 1971
"HEGARTY, John Joseph",https://www.parliament.qld.gov.au/members/former/bio?id=2964195176,Redlands,15 Jul 1995 - 17 Feb 2001,
"HEMMANT, William",https://www.parliament.qld.gov.au/members/former/bio?id=4036026568,"Bulimba, East Moreton",4 Nov 1871 - 26 Jun 1876,20 September 1916
"HENDERSON, Ian Thomas",https://www.parliament.qld.gov.au/members/former/bio?id=2382647794,Mount Gravatt,22 Oct 1983 - 2 Dec 1989,
"HENDREN, William",https://www.parliament.qld.gov.au/members/former/bio?id=1071427881,Bundamba,19 Nov 1878 - 26 Oct 1880,
"HERBERT, Hon John Desmond",https://www.parliament.qld.gov.au/members/former/bio?id=219299830,Sherwood,19 May 1956 - 13 Sep 1978,30 October 1978
"HERBERT, Sir Robert George Wyndham",https://www.parliament.qld.gov.au/members/former/bio?id=606667434,"Leichhardt, West Moreton",4 May 1860 - 7 Aug 1866,6 May 1905
"HERBERTSON, Robert",https://www.parliament.qld.gov.au/members/former/bio?id=3475856060,Port Curtis,27 Aug 1904 - 2 Oct 1909,1 March 1940
"HEUSSLER, Johann Christian",https://www.parliament.qld.gov.au/members/former/bio?id=3240957214,Legislative Council,26 Sep 1866 - 26 Oct 1907,26 October 1907
"HEWITT, Hon Neville Thomas Eric",https://www.parliament.qld.gov.au/members/former/bio?id=2496465865,"Auburn, Mackenzie",19 May 1956 - 29 Nov 1980,19 July 2016
"HEWITT, William Douglas",https://www.parliament.qld.gov.au/members/former/bio?id=4246753280,"Chatsworth, Greenslopes",28 May 1966 - 22 Oct 1983,23 November 2016
"HIGGS, William Guy",https://www.parliament.qld.gov.au/members/former/bio?id=1589941915,Fortitude Valley,11 Mar 1899 - 17 Jul 1901,11 June 1951
"HIGSON, William Kay",https://www.parliament.qld.gov.au/members/former/bio?id=3031798199,Rockhampton,17 Aug 1883 - 5 May 1888,22 March 1931
"HILEY, Sir Thomas Alfred",https://www.parliament.qld.gov.au/members/former/bio?id=3850462451,"Chatsworth, Coorparoo, Logan",15 Apr 1944 - 28 May 1966,6 November 1990
"HILL, Charles Lumley",https://www.parliament.qld.gov.au/members/former/bio?id=460759588,"Cook, Gregory",14 Nov 1878 - 26 May 1888,28 October 1909
"HILL, Richard",https://www.parliament.qld.gov.au/members/former/bio?id=1616438947,Kelvin Grove,11 May 1929 - 11 Jun 1932,26 September 1959
"HILTON, Hon Paul Jerome Remigius",https://www.parliament.qld.gov.au/members/former/bio?id=651233797,Carnarvon,11 May 1935 - 1 Jun 1963,18 August 1965
"HINCHCLIFFE, Albert",https://www.parliament.qld.gov.au/members/former/bio?id=1538611092,Legislative Council,4 May 1904 - 23 Mar 1922,4 January 1935
"HINTON, Denis Grenville",https://www.parliament.qld.gov.au/members/former/bio?id=1303293637,Broadsound,1 Nov 1986 - 2 Dec 1989,
"HINZE, Russell James",https://www.parliament.qld.gov.au/members/former/bio?id=4142092657,South Coast,28 May 1966 - 25 May 1988,29 June 1991
"HIRSCHFELD, Eugen",https://www.parliament.qld.gov.au/members/former/bio?id=352206939,Legislative Council,3 Jul 1914 - 2 Nov 1914,18 June 1946
"HISLOP, Roland William",https://www.parliament.qld.gov.au/members/former/bio?id=1886403064,Sandgate,11 May 1935 - 29 Mar 1941,30 May 1948
"HOBBS, Howard William Thomas",https://www.parliament.qld.gov.au/members/former/bio?id=2125597729,Warrego,1 Nov 1986 - 30 Jan 2015,
"HOBBS, Dr William",https://www.parliament.qld.gov.au/members/former/bio?id=2686314006,Legislative Council,26 Apr 1861 - 18 Oct 1880,8 December 1890
"HOCKINGS, Albert John",https://www.parliament.qld.gov.au/members/former/bio?id=3149105846,Wickham,12 May 1877 - 25 Nov 1878,11 November 1890
"HODEL, Joseph",https://www.parliament.qld.gov.au/members/former/bio?id=2356117088,Legislative Council,3 Jul 1914 - 23 Mar 1922,4 September 1943
"HODGE, Robert Samuel",https://www.parliament.qld.gov.au/members/former/bio?id=1035579050,"Burnett, Nanango, Rosewood",11 Mar 1902 - 9 Oct 1920,8 April 1924
"HODGES, Hon Allen Maxwell",https://www.parliament.qld.gov.au/members/former/bio?id=3726426700,"Gympie, Nash",3 Aug 1957 - 8 Aug 1979,31 July 2009
"HODGKINSON, William Oswald",https://www.parliament.qld.gov.au/members/former/bio?id=1917310871,Burke,4 Dec 1873 - 13 May 1893,23 July 1900
"HODGSON, Sir Arthur",https://www.parliament.qld.gov.au/members/former/bio?id=3782971224,Warrego,18 Sep 1868 - 23 Nov 1869,24 December 1902
"HODGSON, Samuel",https://www.parliament.qld.gov.au/members/former/bio?id=2790643144,"Legislative Council, West Moreton",28 Sep 1868 - 16 Apr 1872,29 November 1886
"HOLBERTON, Frederick Hurrell",https://www.parliament.qld.gov.au/members/former/bio?id=1008520861,Legislative Council,4 Jul 1885 - 9 Sep 1907,9 September 1907
"HOLLIS, Raymond Keith",https://www.parliament.qld.gov.au/members/former/bio?id=2785444147,Redcliffe,2 Dec 1989 - 21 Jul 2005,
"HOLSWICH, Seath Andrew",https://www.parliament.qld.gov.au/members/former/bio?id=3299421417,Pine Rivers,24 Mar 2012 - 30 Jan 2015,
"HOOD, William Walter",https://www.parliament.qld.gov.au/members/former/bio?id=713954146,Warrego,22 Oct 1898 - 18 Nov 1899,8 August 1920
"HOOLAN, John",https://www.parliament.qld.gov.au/members/former/bio?id=2811923839,Burke,9 Aug 1890 - 18 Mar 1899,15 June 1911
"HOOLIHAN, Paul Anthony",https://www.parliament.qld.gov.au/members/former/bio?id=3556433989,Keppel,7 Feb 2004 - 23 Mar 2012,
"HOOPER, Keith William",https://www.parliament.qld.gov.au/members/former/bio?id=2802598390,"Buranda, Greenslopes",3 Aug 1957 - 23 Aug 1977,23 August 1977
"HOOPER, Kevin Joseph",https://www.parliament.qld.gov.au/members/former/bio?id=1711772913,Archerfield,27 May 1972 - 9 Mar 1984,9 March 1984
"HOOPER, Maxwell David, OAM",https://www.parliament.qld.gov.au/members/former/bio?id=2829442891,Townsville West,7 Dec 1974 - 29 Nov 1980,19 November 2000
"HOPE, Louis",https://www.parliament.qld.gov.au/members/former/bio?id=1349697840,Legislative Council,24 Apr 1862 - 1 Nov 1882,15 August 1894
"HOPPER, Raymond Gordon",https://www.parliament.qld.gov.au/members/former/bio?id=3295658277,"Condamine, Darling Downs",17 Feb 2001 - 30 Jan 2015,
"HORAN, Michael James, AM",https://www.parliament.qld.gov.au/members/former/bio?id=919922916,Toowoomba South,18 May 1991 - 23 Mar 2012,
"HORWITZ, Jacob",https://www.parliament.qld.gov.au/members/former/bio?id=4049327225,Warwick,19 Nov 1878 - 2 Jul 1887,24 March 1920
